rowid,studyid,intid,int_type,genus,species,role,taxa,taxatype,genus2,species2,role2,taxa2,taxatype2,notes
1,HMK002,int1,predation,Clupea,harengus membras,positive,vertebrate,spp,Eurytemora,affinis nauplii,negative,invertebrate,,
2,HMK003,int2,herbivory,Calanus,helgolandicus,positive,invertebrate,spp,Phytoplankton,spp.,negative,plant,,
3,HMK006,int3,predation,Perca1,fluviatilis,positive,vertebrate,spp,Abramis,brama,negative,vertebrate,,
4,HMK011,int4,herbivory,Poecile,montanus,positive,vertebrate,spp,Epirrita,autumnata,negative,invertebrate,spp,
5,HMK012,int5,predation,Perca,flavascens,positive,vertebrate,spp,Copepod,spp.,negative,invertebrate,family,
6,HMK012,int6,predation,Lepomis,macrochirus,positive,vertebrate,spp,Copepodites,bosmina,negative,invertebrate,family,
7,HMK013,int7,predation,Muggiaea,atlantica,positive,invertebrate,spp,Calanoid,copepodid,negative,invertebrate,spp,
8,HMK016,int8,predation,Cerorhinca,monocerata,positive,vertebrate,spp,Engraulis,japonicus,negative,vertebrate,spp,
9,HMK018,int9,herbivory,Ovibos,moschatus,positive,vertebrate,spp,Plant2,spp.,negative,plant,community,
10,HMK018,int10,herbivory,Rangifer2,tarandus,positive,vertebrate,spp,Plant2,spp.,negative,plant,community,
11,HMK023,int11,pollination,Corydalis,ambigua,positive,plant,spp,Bombus,spp.,positive,invertebrate,genus,
12,HMK024,int12,predation,Parus,major,positive,vertebrate,spp,Caterpillar,spp.,negative,invertebrate,group,
13,HMK024,int13,predation,Poecile2,montanus,positive,vertebrate,spp,Caterpillar,spp.,negative,invertebrate,group,
14,HMK026,int14,herbivory,Rangifer1,tarandus,positive,vertebrate,spp,Plant1,spp.,negative,plant,community,
15,HMK029,int15,herbivory,Daphnia,pulicaria,positive,invertebrate,spp,Diatom1,spp.,negative,plant,group,
16,HMK029,int16,herbivory,Keratella1,cochlearis,positive,invertebrate,spp,Diatom1,spp.,negative,plant,group,
17,HMK030,int17,herbivory,Rangifer3,tarandus,positive,vertebrate,spp,Plant3,spp.,negative,plant,community,
18,HMK031,int18,herbivory,Thermocyclops,oithonoides,positive,invertebrate,,Diatom2,spp.,negative,plant,group,
19,HMK031,int19,herbivory,Mesocyclops,leuckarti,positive,invertebrate,,Diatom2,spp.,negative,plant,group,
20,HMK031,int20,herbivory,Acanthocyclops,robustus,positive,invertebrate,,Diatom2,spp.,negative,plant,group,
21,HMK032,int21,herbivory,Daphnia,hyalina-galeata,positive,invertebrate,,Asterionella,spp.,negative,plant,genus,
22,HMK034,int22,herbivory,Cyclops,vicinus,positive,invertebrate,,Phytoplankton2,spp.,negative,plant,,
23,HMK035,int23,predation,Mnemiopsis2,leidyi,positive,invertebrate,spp,Acartia,hudsonica,negative,invertebrate,spp,
24,HMK036,int24,herbivory,Copepod1,spp.,positive,invertebrate,genus,Diatom3,spp.,negative,plant,genus,
25,HMK039,int25,competition,Uria,aalge,negative,vertebrate,genus,Rissa1,tridactyla,negative,vertebrate,spp,
26,HMK039,int26,competition,Uria,lomvia,negative,vertebrate,genus,Rissa1,tridactyla,negative,vertebrate,spp,
27,HMK039,int27,competition,Rissa1,tridactyla,negative,vertebrate,spp,Uria,spp.,negative,vertebrate,genus,
28,HMK041,int28,predation,Ficedula,hypoleuca,positive,vertebrate,spp,Caterpillar2,spp.,negative,invertebrate,group,
29,HMK042,int29,predation,Setophaga,caerulescens,positive,vertebrate,spp,Caterpillar3,spp.,negative,invertebrate,group,** could also do caterpillar~plant AND bird~plant
30,HMK025,int30,herbivory,Capreolus,capreolus,positive,vertebrate,spp,Plant4,spp.,negative,plant,community,
31,HMK049,int31,predation,Salvelinus,malma,positive,vertebrate,spp,Oncorhynchus,spp.,negative,vertebrate,genus,
32,HMK046,int32,predation,Ammodytes,marinus,positive,vertebrate,spp,Calanus,finmarchicus,negative,vertebrate,spp,
33,HMK046,int33,predation,Ammodytes,marinus,positive,vertebrate,spp,Calanus,helgolandicus,negative,vertebrate,spp,
34,HMK050,int34,predation,Parus2,major,positive,vertebrate,spp,Caterpillar4,spp.,negative,invertebrate,group,
35,HMK052,int35,parasitism,Pica,pica,negative,vertebrate,spp,Clamator,glandarius,positive,vertebrate,spp,
36,HMK054,int36,predation,Parus3,major,positive,vertebrate,spp,Caterpillar5,spp.,negative,invertebrate,group,
37,AO001,int37,herbivory,Macoma,spp.,positive,invertebrate,genus,Phytoplankton3,spp.,negative,plant,,
38,AO001,int38,predation,Macoma,spp.,negative,invertebrate,genus,Crangon,crangon,positive,invertebrate,spp,
39,RE001,int39,predation,Calidris,alba,positive,vertebrate,spp,Arthropod,spp.,negative,invertebrate,community,
40,HMK058,int40,herbivory,Rupicapra,pyrenaica pyrenaica,positive,vertebrate,spp,Plant5,spp.,negative,plant,community,
41,HMK059,int41,predation,Perca2,fluviatilis,positive,vertebrate,spp,Cladocera2,spp.,negative,invertebrate,group,
42,HMK042,int42,herbivory,Caterpillar3,spp.,positive,invertebrate,genus,Acer,saccharum,negative,plant,spp.,
