study number in reference list,ecosystem type,Studies that began before 1980,Studies with more than three years of data before 1980,taxonomic group-consumer,taxonomic group-resource,consumer fitness,resource fitness
1,aquatic (freshwater),yes,no,invertebrate,plant,population and community,community
2,aquatic (marine),yes,yes,fish,invertebrate,population,population
3,aquatic (marine),no,no,invertebrate,plant,population,population
4,aquatic (marine),no,no,invertebrate,invertebrate,population,population
5,aquatic,no,no,fish,fish,individual,none
6,terrestrial,yes,yes,bird,invertebrate,individual,population
7,aquatic,no,no,invertebrate,invertebrate,population,population
8,aquatic (freshwater),no,no,bird,invertebrate,population,community
9,terrestrial,no,no,bird,invertebrate,individual,community
10,terrestrial,no,no,bird,invertebrate,individual,community
11,terrestrial,no,no,fish,invertebrate,individual,community
12,aquatic (marine),yes,yes,invertebrate,plant,population,community
13,terrestrial,no,no,bird,invertebrate,individual,community
14,aquatic (marine),no,no,bird,invertebrate,individual,population
15,aquatic,no,no,fish,invertebrate,population,community
16,terrestrial,no,no,mammal,plant,individual,none
16,terrestrial,no,no,mammal,plant,individual,none
17,terrestrial,no,no,mammal,plant,individual,none
18,terrestrial,no,no,mammal,plant,population,none
19,terrestrial,no,no,bird,invertebrate,individual,community
20,terrestrial,no,no,bird,invertebrate,individual,community
21,terrestrial,no,no,invertebrate,plant,community,population
21,terrestrial,no,no,bird,invertebrate,population,community
22,terrestrial,no,no,bird,invertebrate,individual,community
23,aquatic (marine),yes,yes,invertebrate,plant,individual,community
23,aquatic (marine),yes,yes,invertebrate,invertebrate,population,individual
24,terrestrial,no,no,mammal,plant,individual,none
25,terrestrial,no,no,mammal,plant,individual,none
26,terrestrial,yes,yes,bird,invertebrate,individual,community
27,terrestrial,yes,yes,bird,invertebrate,individual and population,community
28,aquatic (marine),no,no,fish,invertebrate,population,population
29,terrestrial,no,no,bird,invertebrate,individual,community
30,terrestrial,no,no,bird,mammal,individual,population
31,aquatic (marine),yes,yes,invertebrate,plant,population,community
32,terrestrial,no,no,bird,invertebrate,individual,community
33,aquatic (marine),no,no,fish,fish,population,population
34,aquatic (marine),no,no,bird,fish,individual,community
35,aquatic (marine),yes,no,invertebrate,invertebrate,population,community
36,terrestrial,no,no,bird,invertebrate,individual,community
37,terrestrial,no,no,bird,invertebrate,individual,community
38,terrestrial,no,no,bird,invertebrate,individual,community
39,terrestrial,no,no,bird,invertebrate,individual,community
40,aquatic (marine),no,no,bird,fish,individual,population
41,aquatic (marine),yes,no,invertebrate,plant,community,community
42,aquatic (freshwater),yes,yes,invertebrate,plant,population,community
