time,corr_time,day,mortality,tree
0.188822,-0.188822,0,9.64134,NA
0.199312,-0.199312,0,13.406,NA
0.207179,-0.207179,0,16.2296,NA
5.69743,-5.69743,-5.5,10.5501,NA
5.70661,-5.70661,-5.5,13.8442,NA
11.4093,-11.4093,-11,26.2815,NA
11.2657,-11.2657,-11,32.8707,NA
11.2762,-11.2762,-11,36.6354,NA
22.0888,-22.0888,-22,23.1598,NA
22.1262,-22.1262,-22,36.5716,NA
22.4966,-22.4966,-22,53.2755,NA
27.8131,-27.8131,-27.5,43.3618,NA
28.0131,-28.0131,-27.5,57.0079,NA
33.5447,-33.5447,-33,66.1519,NA
33.7355,-33.7355,-33,76.5039,NA
33.6102,-33.6102,-33,89.6814,NA
0.813336,0.813336,1,47.3026,open circle
27.7972,27.7972,2,33.7824,open circle
61.6444,61.6444,3,53.7066,open circle
93.0324,93.0324,4,99.2665,open circle
1.59265,1.59265,1,33.6591,down open triangle
33.3445,33.3445,2,46.7498,down open triangle
64.5058,64.5058,3,53.7201,down open triangle
94.2359,94.2359,4,99.978,down open triangle
2.0059,2.0059,1,53.6612,open square
26.9671,26.9671,2,73.7789,open square
50.5607,50.5607,3,100,open square
90.9213,90.9213,4,100,open square
0,0,1,60.0043,full diamond
34.9499,34.9499,2,73.3459,full diamond
63.8136,63.8136,3,100,full diamond
84.4464,84.4464,4,100,full diamond
0.238603,0.238603,1,32.9468,open up triangle
27.9097,27.9097,2,53.5478,open up triangle
54.0508,54.0508,3,86.6123,open up triangle
82.9403,82.9403,4,100,open up triangle
0.839193,0.839193,1,33.8909,filled up triangle
27.1309,27.1309,2,66.9561,filled up triangle
64.6301,64.6301,3,67.3678,filled up triangle
87.046,87.046,4,79.7087,filled up triangle
