rowid,studyid,site,year,phenodiff,phenodiffunits,phenodiffmethod,phenodiffvar,phenofreq,genus,species,phenophase1,phenomethod1,genus2,species2,phenophase2,phenomethod2,fitnesscomp,fitnessunit,fitnessmethod,gender,fitnessvalue,fitnessvaluevar,fitnesstype,notes,,,,,,,,,,,,
3945,AO001,NA,1972.88,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.487722,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3946,AO001,NA,1973.9,59.293,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.324155,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3947,AO001,NA,1974.92,15.658,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.246873,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3948,AO001,NA,1975.87,-1.655,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.353498,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3949,AO001,NA,1976.89,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.371443,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3950,AO001,NA,1977.91,26.073,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.499948,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3951,AO001,NA,1978.93,21.922,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.580017,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3952,AO001,NA,1979.96,47.191,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.05076,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3953,AO001,NA,1980.98,NA,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,0.80025,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
3954,AO001,NA,1981.93,41.768,days,us,NA,month,Macoma,spp.,timing of spawning,modeled based on min threshold temp,Phytoplankton3,spp.,peak of spring bloom,derived from normal density function,reproductive output (eggs m2),log,,,1.66123,SE available,reproductive,"later note- switched back dates to make consistent; I calculated mismatch, based on study I did consumer-resource so that positive values=consumer emerges after resource; biomass also available",,,,,,,,,,,,
