studyid,intid,int_type,genus,species,role,taxa,taxatype,genus2,species2,role2,taxa2,taxatype2,notes
AO001,37,herbivory,Macoma,spp.,positive,invertebrate,genus,Phytoplankton3,spp.,negative,plant,,
AO001,38,predation,Macoma,spp.,negative,invertebrate,genus,Crangon,crangon,positive,invertebrate,spp,
HMK002,1,predation,Clupea,harengus membras,positive,vertebrate,spp,Eurytemora,affinis nauplii,negative,invertebrate,,
HMK003,2,herbivory,Calanus,helgolandicus,positive,invertebrate,spp,Phytoplankton,spp.,negative,plant,,
HMK006,3,predation,Perca1,fluviatilis,positive,vertebrate,spp,Abramis,brama,negative,vertebrate,,
HMK011,4,herbivory,Poecile,montanus,positive,vertebrate,spp,Epirrita,autumnata,negative,invertebrate,spp,
HMK012,5,predation,Perca,flavascens,positive,vertebrate,spp,Copepod,spp.,negative,invertebrate,family,
HMK012,6,predation,Lepomis,macrochirus,positive,vertebrate,spp,Copepodites,bosmina,negative,invertebrate,family,
HMK013,7,predation,Muggiaea,atlantica,positive,invertebrate,spp,Calanoid,copepodid,negative,invertebrate,spp,
HMK016,8,predation,Cerorhinca,monocerata,positive,vertebrate,spp,Engraulis,japonicus,negative,vertebrate,spp,
HMK018,9,herbivory,Ovibos,moschatus,positive,vertebrate,spp,Plant2,spp.,negative,plant,community,
HMK018,10,herbivory,Rangifer2,tarandus,positive,vertebrate,spp,Plant2,spp.,negative,plant,community,
HMK023,11,pollination,Corydalis,ambigua,positive,plant,spp,Bombus,spp.,positive,invertebrate,genus,
HMK024,12,predation,Parus,major,positive,vertebrate,spp,Caterpillar,spp.,negative,invertebrate,group,
HMK024,13,predation,Poecile2,montanus,positive,vertebrate,spp,Caterpillar,spp.,negative,invertebrate,group,
HMK025,30,herbivory,Capreolus,capreolus,positive,vertebrate,spp,Plant4,spp.,negative,plant,community,
HMK026,14,herbivory,Rangifer1,tarandus,positive,vertebrate,spp,Plant1,spp.,negative,plant,community,
HMK029,15,herbivory,Daphnia,pulicaria,positive,invertebrate,spp,Diatom1,spp.,negative,plant,group,
HMK029,16,herbivory,Keratella1,cochlearis,positive,invertebrate,spp,Diatom1,spp.,negative,plant,group,
HMK030,17,herbivory,Rangifer3,tarandus,positive,vertebrate,spp,Plant3,spp.,negative,plant,community,
HMK031,18,herbivory,Thermocyclops,oithonoides,positive,invertebrate,,Diatom2,spp.,negative,plant,group,
HMK031,19,herbivory,Mesocyclops,leuckarti,positive,invertebrate,,Diatom2,spp.,negative,plant,group,
HMK031,20,herbivory,Acanthocyclops,robustus,positive,invertebrate,,Diatom2,spp.,negative,plant,group,
HMK032,21,herbivory,Daphnia,hyalina-galeata,positive,invertebrate,,Asterionella,spp.,negative,plant,genus,
HMK034,22,herbivory,Cyclops,vicinus,positive,invertebrate,,Phytoplankton2,spp.,negative,plant,,
HMK035,23,predation,Mnemiopsis2,leidyi,positive,invertebrate,spp,Acartia,hudsonica,negative,invertebrate,spp,
HMK036,24,herbivory,Copepod1,spp.,positive,invertebrate,genus,Diatom3,spp.,negative,plant,genus,
HMK039,25,competition,Uria,aalge,negative,vertebrate,genus,Rissa1,tridactyla,negative,vertebrate,spp,
HMK039,26,competition,Uria,lomvia,negative,vertebrate,genus,Rissa1,tridactyla,negative,vertebrate,spp,
HMK039,27,competition,Rissa1,tridactyla,negative,vertebrate,spp,Uria,spp.,negative,vertebrate,genus,
HMK041,28,predation,Ficedula,hypoleuca,positive,vertebrate,spp,Caterpillar2,spp.,negative,invertebrate,group,
HMK042,29,predation,Setophaga,caerulescens,positive,vertebrate,spp,Caterpillar3,spp.,negative,invertebrate,group,** could also do caterpillar~plant AND bird~plant
HMK046,32,predation,Ammodytes,marinus,positive,vertebrate,spp,Calanus,finmarchicus,negative,vertebrate,spp,
HMK046,33,predation,Ammodytes,marinus,positive,vertebrate,spp,Calanus,helgolandicus,negative,vertebrate,spp,
HMK049,31,predation,Salvelinus,malma,positive,vertebrate,spp,Oncorhynchus,spp.,negative,vertebrate,genus,
HMK050,34,predation,Parus2,major,positive,vertebrate,spp,Caterpillar4,spp.,negative,invertebrate,group,
HMK052,35,parasitism,Pica,pica,negative,vertebrate,spp,Clamator,glandarius,positive,vertebrate,spp,
HMK054,36,predation,Parus3,major,positive,vertebrate,spp,Caterpillar5,spp.,negative,invertebrate,group,
RE001,39,predation,Calidris,alba,positive,vertebrate,spp,Arthropod,spp.,negative,invertebrate,community,
HMK058,40,herbivory,Rupicapra,pyrenaica pyrenaica,positive,vertebrate,spp,Plant5,spp.,negative,plant,community,
HMK059,41,predation,Perca2,fluviatilis,positive,vertebrate,spp,Cladocera2,spp.,negative,invertebrate,group,
HMK042,42,herbivory,Caterpillar3,spp.,positive,invertebrate,genus,Acer,saccharum,negative,plant,spp.,
