year,species,pheno
1982,consumer,83.9783
1983,consumer,105.7371
1984,consumer,83.7305
1986,consumer,111.6073
1988,consumer,108.234
1989,consumer,64.3188
1990,consumer,7.93653
1991,consumer,48.47885
1992,consumer,98.3465
1993,consumer,95.0565
1994,consumer,98.0987
1995,consumer,60.41665
1996,consumer,125.9097
1997,consumer,110.1849
1999,consumer,94.2788
2000,consumer,81.6466
2002,consumer,115.7737
2003,consumer,106.2663
1980,resource,138.4719
1981,resource,138.4719
1982,resource,118.2972
1983,resource,117.3802
1984,resource,104.5415
1985,resource,111.8775
1986,resource,117.3802
1987,resource,145.8079
1988,resource,90.7858
1989,resource,76.1138
1990,resource,61.44103
1991,resource,104.5415
1992,resource,103.6245
1993,resource,111.8775
1994,resource,110.9605
1995,resource,61.44103
1996,resource,124.7162
1997,resource,119.2142
1998,resource,111.8775
1999,resource,90.7858
2000,resource,110.0435
2001,resource,110.9605
2002,resource,96.2885
2003,resource,131.1352
