studyid,methodtype,reason for exclusion,search,initialid,Author,Title,Year,Journal,Volume,Number,Month,Pages,Identifier,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
NA,both,only two years of data,search1,1,"Abarca, Mariana & Lill, John T.",Warming affects hatching time and early season survival of eastern tent caterpillars,{2015},{OECOLOGIA},{179},{3},{NOV},{901-912},ISI:000363559800026,,,,,,,,,,,,,,,,,,,
HMK001,,,search1,2,"Aberle, N.; Bauer, B.; Lewandowska, A.; Gaedke, U. & Sommer, U.",Warming induces shifts in microzooplankton phenology and reduces time-lags between phytoplankton and protozoan production,{2441-2453},{MARINE BIOLOGY},{159},{11, SI},{NOV},ISI:000310586900008,,,,,,,,,,,,,,,,,,,
NA,,model,search1,3,"Abou Chakra, Maria; Hilbe, Christian & Traulsen, Arne",Coevolutionary interactions between farmers and mafia induce host acceptance of avian brood parasites,{2016},{ROYAL SOCIETY OPEN SCIENCE},{3},{5},{MAY},,ISI:000377969800008,,,,,,,,,,,,,,,,,,,
HMK031,,*previous search (2014); may not have fitness data,search1,4,"Adrian, R.; Wilhelm, S. & Gerten, D.",Life-history traits of lake plankton species may govern their phenological response to climate warming,{2006},{GLOBAL CHANGE BIOLOGY},{12},{4},{APR},{652-661},ISI:000236549600005,,,,,,,,,,,,,,,,,,,
NA,,community flowering,search1,5,"Aldridge, George; Inouye, David W.; Forrest, Jessica R. K.; Barr, William A. & Miller-Rushing, Abraham J.",Emergence of a mid-season period of low floral resources in a montane meadow ecosystem associated with climate change,{2011},{JOURNAL OF ECOLOGY},{99},{4},{JUL},{905-913},ISI:000292419800003,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,6,"Allen, Andrew M.; Dorey, Augusta; Malmsten, Jonas; Edenius, Lars; Ericsson, Goran & Singh, Navinder J.",Habitat-performance relationships of a large mammal on a predator-free island dominated by humans,{2017},{ECOLOGY AND EVOLUTION},{7},{1},{JAN},{305-319},ISI:000392069500025,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,7,"Allen, Jenica M.; Terres, Maria A.; Katsuki, Toshio; Iwamoto, Kojiro; Kobori, Hiromi; Higuchi, Hiroyoshi; Primack, Richard B.; Wilson, Adam M.; Gelfand, Alan & Silander, Jr., John A.",Modeling daily flowering probabilities: expected impact of climate change on Japanese cherry phenology,{2014},{GLOBAL CHANGE BIOLOGY},{20},{4},{APR},{1251-1263},ISI:000332069500019,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,8,"Allstadt, Andrew J.; Vavrus, Stephen J.; Heglund, Patricia J.; Pidgeon, Anna M.; Thogmartin, Wayne E. & Radeloff, Volker C.",Spring plant phenology and false springs in the conterminous US during the 21st century,{2015},{ENVIRONMENTAL RESEARCH LETTERS},{10},{10},{OCT},,ISI:000367180300012,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,9,"Ambrosini, Roberto; Saino, Nicola; Rubolini, Diego & Moller, Anders Pape",Higher degree-days at the time of breeding predict size of second clutches in the barn swallow,{2011},{CLIMATE RESEARCH},{50},{1},,{43-50},ISI:000297977700003,,,,,,,,,,,,,,,,,,,
NA,,review and model,search1,10,"Anderson, James J.; Gurarie, Eliezer; Bracis, Chloe; Burke, Brian J. & Laidre, Kristin L.",Modeling climate change impacts on phenology and population dynamics of migratory marine species,{2013},{ECOLOGICAL MODELLING},{264},{SI},{AUG 24},{83-97},ISI:000322938700008,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,11,"Andrade, Thiago Oliveira; Outreman, Yannick; Krespi, Liliane; Plantegenest, Manuel; Vialatte, Aude; Gauffre, Bertrand & van Baaren, Joan",Spatiotemporal variations in aphid-parasitoid relative abundance patterns and food webs in agricultural ecosystems,{2015},{ECOSPHERE},{6},{7},{JUL},,ISI:000358991500007,,,,,,,,,,,,,,,,,,,
NA,,framework; look at for citations,search1,12,"Armstrong, Jonathan B.; Takimoto, Gaku; Schindler, Daniel E.; Hayes, Matthew M. & Kauffman, Matthew J.",Resource waves: phenological diversity enhances foraging opportunities for mobile consumers,{2016},{ECOLOGY},{97},{5},{MAY},{1099-1112},ISI:000375566800002,,,,,,,,,,,,,,,,,,,
HMK002,,,search1,13,"Arula, Timo; Groeger, Joachim; Ojaveer, Henn & Simm, Mart",Shifts in the Spring Herring (Clupea harengus membras) Larvae and Related Environment in the Eastern Baltic Sea over the Past 50 Years,{2014},{PLOS ONE},{9},{3},{MAR 17},,ISI:000333254100027,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,14,"Asch, Rebecca G.",Climate change and decadal shifts in the phenology of larval fishes in the California Current ecosystem,{2015},{PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA},{112},{30},{JUL 28},{E4065-E4074},ISI:000358656500014,,,,,,,,,,,,,,,,,,,
HMK003,,,search1,15,"Atkinson, Angus; Harmer, Rachel A.; Widdicombe, Claire E.; McEvoy, Andrea J.; Smyth, Tim J.; Cummings, Denise G.; Somerfield, Paul J.; Maud, Jacqueline L. & McConville, Kristian",Questioning the role of phenology shifts and trophic mismatching in a planktonic food web,{498-512},{PROGRESS IN OCEANOGRAPHY},{137},{B, SI},{SEP},ISI:000362141700012,,,,,,,,,,,,,,,,,,,
NA,,not long enough; spatial,search1,16,"Aubry, Aurelie; Becart, Emeline; Davenport, John; Lynn, Deirdre; Marnell, Ferdia & Emmerson, Mark",Patterns of synchrony in natterjack toad breeding activity and reproductive success at local and regional scales,{2012},{ECOGRAPHY},{35},{8},{AUG},{749-759},ISI:000305892300008,,,,,,,,,,,,,,,,,,,
NA,,relies on GDD as proxy for plant phenology,search1,17,"Aubry, Lise M.; Rockwell, Robert F.; Cooch, Evan G.; Brook, Rodney W.; Mulder, Christa P. H. & Koons, David N.","Climate change, phenology, and habitat degradation: drivers of gosling body condition and juvenile survival in lesser snow geese",{2013},{GLOBAL CHANGE BIOLOGY},{19},{1},{JAN},{149-160},ISI:000312155100012,,,,,,,,,,,,,,,,,,,
HMK052,,*previous search (2014); may not have fitness data,search1,18,"Aviles, Jesus M.; Molina-Morales, Mercedes & Gabriel Martinez, Juan",Climatic effects and phenological mismatch in cuckoo-host interactions: a role for host phenotypic plasticity in laying date?,{2014},{OIKOS},{123},{8},{AUG},{993-1002},ISI:000340664700011,,,,,,,,,,,,,,,,,,,
NA,,review,search1,19,"Barbaro, Luc & Battisti, Andrea",Birds as predators of the pine processionary moth (Lepidoptera: Notodontidae),{2011},{BIOLOGICAL CONTROL},{56},{2},{FEB},{107-114},ISI:000285407900001,,,,,,,,,,,,,,,,,,,
NA,,not long enough,search1,20,"Barea, Laurence P. & Watson, David M.",Temporal variation in food resources determines onset of breeding in an Australian mistletoe specialist,{2007},{EMU},{107},{3},,{203-209},ISI:000249274700006,,,,,,,,,,,,,,,,,,,
NA,,community; no explicit interactions,search1,21,"Barrett, Robert T. & Hollister, Robert D.",Arctic plants are capable of sustained responses to long-term warming,{2016},{POLAR RESEARCH},{35},,,,ISI:000376255300001,,,,,,,,,,,,,,,,,,,
NA,,plant and animal data collected separately (and in very different ways). No fitness data. Not known if same sites,search1,22,"Bartomeus, Ignasi; Ascher, John S.; Wagner, David; Danforth, Bryan N.; Colla, Sheila; Kornbluth, Sarah & Winfree, Rachael",Climate-associated phenological advances in bee pollinators and bee-pollinated plants,{2011},{PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA},{108},{51},{DEC 20},{20645-20649},ISI:000298289400077,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,23,"Bean, Dan W.; Dalin, Peter & Dudley, Tom L.","Evolution of critical day length for diapause induction enables range expansion of Diorhabda carinulata, a biological control agent against tamarisk (Tamarix spp.)",{511-523},{EVOLUTIONARY APPLICATIONS},{5},{5, SI},{JUL},ISI:000306271700009,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,24,"Benadi, Gita; Hovestadt, Thomas; Poethke, Hans-Joachim & Bluethgen, Nico",Specialization and phenological synchrony of plant-pollinator interactions along an altitudinal gradient,{2014},{JOURNAL OF ANIMAL ECOLOGY},{83},{3},{MAY},{639-650},ISI:000334289500012,,,,,,,,,,,,,,,,,,,
NA,,no data,search1,25,"Benkman, Craig W.",The Natural History of the South Hills Crossbill in Relation to Its Impending Extinction,{2016},{AMERICAN NATURALIST},{188},{6},{DEC},{589-601},ISI:000388683800002,,,,,,,,,,,,,,,,,,,
HMK004,experiment,,search1,26,"Berger, Stella A.; Diehl, Sebastian; Stibor, Herwig; Sebastian, Patrizia & Scherz, Antonia",Separating effects of climatic drivers and biotic feedbacks on seasonal plankton dynamics: no sign of trophic mismatch,{2014},{FRESHWATER BIOLOGY},{59},{10},{OCT},{2204-2220},ISI:000342758300016,,,,,,,,,,,,,,,,,,,
KJB002,,*previous search (2014); may not have fitness data,search1,27,"Berger, Stella A.; Diehl, Sebastian; Stibor, Herwig; Trommer, Gabriele & Ruhenstroth, Miriam",Water temperature and stratification depth independently shift cardinal events during plankton spring succession,{2010},{GLOBAL CHANGE BIOLOGY},{16},{7},{JUL},{1954-1965},ISI:000278308100005,,,,,,,,,,,,,,,,,,,
NA,,no data,search1,28,"Bertram, Douglas F.; Harfenist, Anne & Hedd, April",Seabird nestling diets reflect latitudinal temperature-dependent variation in availability of key zooplankton prey populations,{2009},{MARINE ECOLOGY PROGRESS SERIES},{393},,,{199-210},ISI:000272187800017,,,,,,,,,,,,,,,,,,,
NA,,no phenology data,search1,29,"Bertrand, Romain; Gegout, Jean-Claude & Bontemps, Jean-Daniel",Niches of temperate tree species converge towards nutrient-richer conditions over ontogeny,{2011},{OIKOS},{120},{10},{OCT},{1479-1488},ISI:000295094800007,,,,,,,,,,,,,,,,,,,
NA,,model,search1,30,"Bewick, Sharon; Cantrell, R. Stephen; Cosner, Chris & Fagan, William F.",How Resource Phenology Affects Consumer Population Dynamics,{2016},{AMERICAN NATURALIST},{187},{2},{FEB},{151-166},ISI:000368590200001,,,,,,,,,,,,,,,,,,,
HMK013,,,search1,31,"Blackett, Michael; Lucas, Cathy H.; Harmer, Rachel A. & Licandro, Priscilla","Population ecology of Muggiaea atlantica (Cnidaria, Siphonophora) in the Western English Channel",{2015},{MARINE ECOLOGY PROGRESS SERIES},{535},,{SEP 15},{129-144},ISI:000361694000009,,,,,,,,,,,,,,,,,,,
NA,,contact authors? Meets criteria but data not shown,search1,32,"BLONDEL, J.; PC, D. I. A. S.; MAISTRE, M. & PERRET, P.",HABITAT HETEROGENEITY AND LIFE-HISTORY VARIATION OF MEDITERRANEAN BLUE TITS (PARUS-CAERULEUS),{1993},{AUK},{110},{3},{JUL},{511-520},ISI:A1993NG57600009,,,,,,,,,,,,,,,,,,,
NA,,not species,search1,33,"Bograd, Steven J.; Schroeder, Isaac; Sarkar, Nandita; Qiu, Xuemei; Sydeman, William J. & Schwing, Franklin B.",Phenology of coastal upwelling in the California Current,{2009},{GEOPHYSICAL RESEARCH LETTERS},{36},{1},{JAN 1},,ISI:000262168500002,,,,,,,,,,,,,,,,,,,
NA,,only two years of data,search1,34,"Bolmgren, Kjell & Eriksson, Ove","Are mismatches the norm? Timing of flowering, fruiting, dispersal and germination and their fitness effects in Frangula alnus (Rhamnaceae)",{2015},{OIKOS},{124},{5},{MAY},{639-648},ISI:000356010300012,,,,,,,,,,,,,,,,,,,
NA,,only three years,search1,35,"Bonal, Raul; Munoz, Alberto & Maria Espelta, Josep",Mismatch between the timing of oviposition and the seasonal optimum. The stochastic phenology of Mediterranean acorn weevils,{2010},{ECOLOGICAL ENTOMOLOGY},{35},{3},{JUN},{270-278},ISI:000277290000002,,,,,,,,,,,,,,,,,,,
HMK006,,yes but no years given,search1,36,"Borcherding, Jost; Beeck, Peter; DeAngelis, Donald L. & Scharf, Werner R.",Match or mismatch: the influence of phenology on size-dependent life history and divergence in population structure,{2010},{JOURNAL OF ANIMAL ECOLOGY},{79},{5},{SEP},{1101-1112},ISI:000280671000019,,,,,,,,,,,,,,,,,,,
HMK048,,*previous search (2014); may not have fitness data,search1,37,"Both, Christiaan; van Asch, Margriet; Bijlsma, Rob G.; van den Burg, Arnold B. & Visser, Marcel E.",Climate change and unequal phenological changes across four trophic levels: constraints or adaptations?,{2009},{JOURNAL OF ANIMAL ECOLOGY},{78},{1},{JAN},{73-83},ISI:000261620800009,,,,,,,,,,,,,,,,,,,
NA,,abiotic mismatch,search1,38,"Bowers, E. Keith; Grindstaff, Jennifer L.; Soukup, Sheryl Swartz; Drilling, Nancy E.; Eckerle, Kevin P.; Sakaluk, Scott K. & Thompson, Charles F.",Spring temperatures influence selection on breeding date and the potential for phenological mismatch in a migratory bird,{2016},{ECOLOGY},{97},{10},{OCT},{2880-2891},ISI:000386088000033,,,,,,,,,,,,,,,,,,,
NA,,no new data; also part of previous search,search1,39,"Brook, Barry W.",Global warming tugs at trophic interactions,{2009},{JOURNAL OF ANIMAL ECOLOGY},{78},{1},{JAN},{1-3},ISI:000261620800001,,,,,,,,,,,,,,,,,,,
NA,,uses NDVI for plant data,search1,40,"Brook, Rodney W.; Leafloor, James O.; Abraham, Kenneth F. & Douglas, David C.",Density dependence and phenological mismatch: consequences for growth and survival of sub-arctic nesting Canada Geese,{2015},{AVIAN CONSERVATION AND ECOLOGY},{10},{1},{JUN},,ISI:000357622700001,,,,,,,,,,,,,,,,,,,
NA,,theoretical model; previous search (2014),search1,41,"Brown, V. L. & Rohani, Pejman",The consequences of climate change at an avian influenza `hotspot',{2012},{BIOLOGY LETTERS},{8},{6},{DEC 23},{1036-1039},ISI:000311025100038,,,,,,,,,,,,,,,,,,,
NA,,review,search1,42,"Buckley, Steve & Nabhan, Gary Paul",Food Chain Restoration for Pollinators: Regional Habitat Recovery Strategies Involving Protected Areas of the Southwest,{2016},{NATURAL AREAS JOURNAL},{36},{4},{OCT},{489-497},ISI:000386054300014,,,,,,,,,,,,,,,,,,,
NA,,missing animal phenology data!,search1,43,"Buentgen, Ulf; Liebhold, Andrew; Jenny, Hannes; Mysterud, Atle; Egli, Simon; Nievergelt, Daniel; Stenseth, Nils C. & Bollmann, Kurt",European springtime temperature synchronises ibex horn growth across the eastern Swiss Alps,{2014},{ECOLOGY LETTERS},{17},{3},{MAR},{303-313},ISI:000329823300005,,,,,,,,,,,,,,,,,,,
NA,,no interactions,search1,44,"Buitenwerf, Robert; Rose, Laura & Higgins, Steven I.",Three decades of multi-dimensional change in global leaf phenology,{2015},{NATURE CLIMATE CHANGE},{5},{4},{APR},{364-368},ISI:000351842100022,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); no measure of synchrony; no phenological data,search1,45,"Burger, Claudia; Belskii, Eugen; Eeva, Tapio; Laaksonen, Toni; Maegi, Marko; Maend, Raivo; Qvarnstrom, Anna; Slagsvold, Tore; Veen, Thor; Visser, Marcel E.; Wiebe, Karen L.; Wiley, Chris; Wright, Jonathan & Both, Christiaan","Climate change, breeding date and nestling diet: how temperature differentially affects seasonal changes in pied flycatcher diet depending on habitat variation",{2012},{JOURNAL OF ANIMAL ECOLOGY},{81},{4},{JUL},{926-936},ISI:000305333900021,,,,,,,,,,,,,,,,,,,
HMK007,experiment,* great study for NSERC DG work,search1,46,"Burger, Claudia; Nord, Andreas; Nilsson, Jan-Ake; Gilot-Fromont, Emmanuelle & Both, Christiaan","Fitness Consequences of Northward Dispersal as Possible Adaptation to Climate Change, Using Experimental Translocation of a Migratory Passerine",{2013},{PLOS ONE},{8},{12},{DEC 11},,ISI:000328730300137,,,,,,,,,,,,,,,,,,,
NA,,previous search (2014); no species or genus level data,search1,47,"Burkle, Laura A.; Marlin, John C. & Knight, Tiffany M.","Plant-Pollinator Interactions over 120 Years: Loss of Species, Co-Occurrence, and Function",{2013},{SCIENCE},{339},{6127},{MAR 29},{1611-1615},ISI:000316731600050,,,,,,,,,,,,,,,,,,,
NA,,spatial only,search1,48,"Burr, Zofia M.; Varpe, Oystein; Anker-Nilssen, Tycho; Erikstad, Kjell Einar; Descamps, Sebastien; Barrett, Robert T.; Bech, Claus; Christensen-Dalsgaard, Signe; Lorentsen, Svein-Hakon; Moe, Borge; Reiertsen, Tone Kristin & Strom, Hallvard",Later at higher latitudes: large-scale variability in seabird breeding timing and synchronicity,{2016},{ECOSPHERE},{7},{5},{MAY},,ISI:000377215200016,,,,,,,,,,,,,,,,,,,
SET005,,*previous search (2014); may not have fitness data,search1,49,"Burthe, Sarah; Daunt, Francis; Butler, Adam; Elston, David A.; Frederiksen, Morten; Johns, David; Newell, Mark; Thackeray, Stephen J. & Wanless, Sarah",Phenological trends and trophic mismatch across multiple levels of a North Sea pelagic food web,{2012},{MARINE ECOLOGY PROGRESS SERIES},{454},,,{119+},ISI:000304605500010,,,,,,,,,,,,,,,,,,,
NA,,review,search1,50,"Calado, Ricardo & Leal, Miguel Costa",Trophic Ecology of Benthic Marine Invertebrates with Bi-Phasic Life Cycles: What Are We Still Missing?,{2015},,{71},,,{1-70},ISI:000363308800002,,,"{ADVANCES IN MARINE BIOLOGY, VOL 71}",,,{Advances in Marine Biology},"Curry, BE",,,,,,,,,,,,
NA,,intra-specific synchrony (between male and female flowers),search1,51,"Campbell, L. G.; Luo, J. & Mercer, K. L.","Effect of water availability and genetic diversity on flowering phenology, synchrony and reproductive investment in summer squash",{2013},{JOURNAL OF AGRICULTURAL SCIENCE},{151},{6},{DEC},{775-786},ISI:000330450900002,,,,,,,,,,,,,,,,,,,
NA,,community; no explicit interactions,search1,52,"CaraDonna, Paul J.; Iler, Amy M. & Inouye, David W.",Shifts in flowering phenology reshape a subalpine plant community,{2014},{PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA},{111},{13},{APR 1},{4916-4921},ISI:000333579700058,,,,,,,,,,,,,,,,,,,
NA,,review,search1,53,"Carey, Cynthia",The impacts of climate change on the annual cycles of birds,{2009},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{364},{1534},{NOV 27},{3321-3330},ISI:000270800800002,,,,,,,,,,,,,,,,,,,
NA,,review,search1,54,"Cerdeira Morellato, Leonor Patricia; Alberton, Bruna; Alvarado, Swanni T.; Borges, Bruno; Buisson, Elise; Camargo, Maria Gabriela G.; Cancian, Leonardo F.; Carstensen, Daniel W.; Escobar, Diego F. E.; Leite, Patricia T. P.; Mendoza, Irene; Rocha, Nathalia M. W. B.; Soares, Natalia C.; Freire Silva, Thiago Sanna; Staggemeier, Vanessa G.; Streher, Annia Susin; Vargas, Betania C. & Peres, Carlos A.",Linking plant phenology to conservation biology,{2016},{BIOLOGICAL CONSERVATION},{195},,{MAR},{60-72},ISI:000371942300009,,,,,,,,,,,,,,,,,,,
NA,,only two years of data,search1,55,"Cerrato, Cristiana; Lai, Valentina; Balletto, Emilio & Bonelli, Simona",Direct and indirect effects of weather variability in a specialist butterfly,{2016},{ECOLOGICAL ENTOMOLOGY},{41},{3},{JUN},{263-275},ISI:000379942100004,,,,,,,,,,,,,,,,,,,
