individual.id,year,laydate,no.fledged,no.recruits,mismatch,peakheight,T.nest.period,rain.nest.period,T.fledg.period,rain.fledg.period,arrivalT
191,1980,42,4,0,NA,NA,17.7,NA,13,NA,3.89
261,1980,41,3,0,NA,NA,17.7,NA,13,NA,3.89
594,1980,42,4,0,NA,NA,17.7,NA,13,NA,3.89
761,1980,37,6,0,NA,NA,17.7,NA,13,NA,3.89
799,1980,47.5,4,1,NA,NA,17.7,NA,13,NA,3.89
810,1980,48,3,0,NA,NA,17.7,NA,13,NA,3.89
818,1980,44.5,5,1,NA,NA,17.7,NA,13,NA,3.89
841,1980,38,5,1,NA,NA,17.7,NA,13,NA,3.89
847,1980,38,6,0,NA,NA,17.7,NA,13,NA,3.89
868,1980,42,5,0,NA,NA,17.7,NA,13,NA,3.89
874,1980,38,7,0,NA,NA,17.7,NA,13,NA,3.89
890,1980,38,5,1,NA,NA,17.7,NA,13,NA,3.89
989,1980,39,3,0,NA,NA,17.7,NA,13,NA,3.89
996,1980,39.5,5,1,NA,NA,17.7,NA,13,NA,3.89
1040,1980,40,6,0,NA,NA,17.7,NA,13,NA,3.89
1068,1980,42,5,0,NA,NA,17.7,NA,13,NA,3.89
1074,1980,43,4,0,NA,NA,17.7,NA,13,NA,3.89
1077,1980,40,6,2,NA,NA,17.7,NA,13,NA,3.89
1103,1980,42,3,0,NA,NA,17.7,NA,13,NA,3.89
1105,1980,46,2,0,NA,NA,17.7,NA,13,NA,3.89
1125,1980,41,4,1,NA,NA,17.7,NA,13,NA,3.89
1136,1980,41,4,0,NA,NA,17.7,NA,13,NA,3.89
1141,1980,41,5,1,NA,NA,17.7,NA,13,NA,3.89
1170,1980,42,1,1,NA,NA,17.7,NA,13,NA,3.89
1173,1980,42,4,0,NA,NA,17.7,NA,13,NA,3.89
1199,1980,42,7,1,NA,NA,17.7,NA,13,NA,3.89
1211,1980,42,6,2,NA,NA,17.7,NA,13,NA,3.89
1212,1980,42,4,0,NA,NA,17.7,NA,13,NA,3.89
1227,1980,42,5,0,NA,NA,17.7,NA,13,NA,3.89
1253,1980,43,6,0,NA,NA,17.7,NA,13,NA,3.89
1262,1980,43,6,0,NA,NA,17.7,NA,13,NA,3.89
1266,1980,48,7,0,NA,NA,17.7,NA,13,NA,3.89
1274,1980,43,6,0,NA,NA,17.7,NA,13,NA,3.89
1275,1980,43,1,0,NA,NA,17.7,NA,13,NA,3.89
1290,1980,43,6,1,NA,NA,17.7,NA,13,NA,3.89
1311,1980,44,5,1,NA,NA,17.7,NA,13,NA,3.89
1345,1980,44,6,0,NA,NA,17.7,NA,13,NA,3.89
1356,1980,44,5,0,NA,NA,17.7,NA,13,NA,3.89
1362,1980,44,6,1,NA,NA,17.7,NA,13,NA,3.89
1372,1980,44.5,6,0,NA,NA,17.7,NA,13,NA,3.89
1373,1980,44.5,6,0,NA,NA,17.7,NA,13,NA,3.89
1376,1980,45,3,1,NA,NA,17.7,NA,13,NA,3.89
1381,1980,45,5,1,NA,NA,17.7,NA,13,NA,3.89
1394,1980,45,6,0,NA,NA,17.7,NA,13,NA,3.89
1405,1980,45,5,0,NA,NA,17.7,NA,13,NA,3.89
1423,1980,45,3,1,NA,NA,17.7,NA,13,NA,3.89
1431,1980,45.5,6,0,NA,NA,17.7,NA,13,NA,3.89
1451,1980,46,6,0,NA,NA,17.7,NA,13,NA,3.89
1457,1980,46,4,0,NA,NA,17.7,NA,13,NA,3.89
1461,1980,46,1,0,NA,NA,17.7,NA,13,NA,3.89
1478,1980,46,6,0,NA,NA,17.7,NA,13,NA,3.89
1487,1980,46,4,0,NA,NA,17.7,NA,13,NA,3.89
1496,1980,46.5,2,0,NA,NA,17.7,NA,13,NA,3.89
1503,1980,51,6,1,NA,NA,17.7,NA,13,NA,3.89
1525,1980,47,7,0,NA,NA,17.7,NA,13,NA,3.89
1531,1980,47,6,0,NA,NA,17.7,NA,13,NA,3.89
1535,1980,47,5,0,NA,NA,17.7,NA,13,NA,3.89
1536,1980,47,4,1,NA,NA,17.7,NA,13,NA,3.89
1541,1980,47.5,5,0,NA,NA,17.7,NA,13,NA,3.89
1548,1980,48,5,1,NA,NA,17.7,NA,13,NA,3.89
1568,1980,48,4,0,NA,NA,17.7,NA,13,NA,3.89
1577,1980,49,4,0,NA,NA,17.7,NA,13,NA,3.89
1588,1980,49,4,0,NA,NA,17.7,NA,13,NA,3.89
1592,1980,49,6,0,NA,NA,17.7,NA,13,NA,3.89
1594,1980,49,4,0,NA,NA,17.7,NA,13,NA,3.89
1627,1980,51,3,0,NA,NA,17.7,NA,13,NA,3.89
1630,1980,51,2,0,NA,NA,17.7,NA,13,NA,3.89
1631,1980,51,6,4,NA,NA,17.7,NA,13,NA,3.89
1637,1980,51,5,0,NA,NA,17.7,NA,13,NA,3.89
1660,1980,52,4,2,NA,NA,17.7,NA,13,NA,3.89
1665,1980,52.5,4,0,NA,NA,17.7,NA,13,NA,3.89
1667,1980,52.5,3,1,NA,NA,17.7,NA,13,NA,3.89
1675,1980,53,5,0,NA,NA,17.7,NA,13,NA,3.89
1678,1980,53,5,0,NA,NA,17.7,NA,13,NA,3.89
1680,1980,53.5,4,0,NA,NA,17.7,NA,13,NA,3.89
1697,1980,55,3,0,NA,NA,17.7,NA,13,NA,3.89
1727,1980,60,3,0,NA,NA,17.7,NA,13,NA,3.89
1732,1980,63,4,0,NA,NA,17.7,NA,13,NA,3.89
1736,1980,66,1,0,NA,NA,17.7,NA,13,NA,3.89
9999,1980,43,3,1,NA,NA,17.7,NA,13,NA,3.89
9999,1980,42,4,0,NA,NA,17.7,NA,13,NA,3.89
9999,1980,46,0,0,NA,NA,17.7,NA,13,NA,3.89
9999,1980,42.5,0,0,NA,NA,17.7,NA,13,NA,3.89
9999,1980,55.5,0,0,NA,NA,17.7,NA,13,NA,3.89
