1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,YEAR,DC_DISTANCE TO CENTER,MASS(g),PK_PEAK HEIGHT,HD_HATCHING DATE,HD_HATCHING DATE2,SYN_SYNCHRONY,SYN2_SYNCHRONY2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,9,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,9.1,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,8.9,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,7.7,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,8.5,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,8.5,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,836.6749668,7.8,0.7981425,-9.008130081,81.14640756,-16,256
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,10.4,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,9.2,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,9.5,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,9.1,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,9.8,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,9.5,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,11,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2018.950718,9.7,0.7981425,-8.008130081,64.1301474,-15,225
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,602.7014186,11.3,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,602.7014186,10.7,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,602.7014186,11.3,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,602.7014186,10.6,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1194.956066,11.3,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1194.956066,9.1,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1194.956066,10.7,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1194.956066,10.8,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1194.956066,10.9,0.7981425,-7.008130081,49.11388724,-14,196
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1999,1194.956066,11.5,0.7981425,-7.008130081,49.11388724,-14,196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2130.161027,11.5,0.7981425,-6.008130081,36.09762707,-13,169
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2130.161027,11.5,0.7981425,-6.008130081,36.09762707,-13,169
