YEAR,SEX,BIRTH_DATE,FAMILY,EARLY_SURVIVAL
85,2,121.5,0,0
85,1,121.5,0,1
85,2,122,0,0
85,1,122,0,1
85,1,122.5,0,1
85,2,126,0,0
85,2,128,0,0
85,1,129,0,1
85,2,130,0,1
85,2,131,0,1
85,1,132,0,0
85,1,132,0,1
85,2,134,0,0
85,1,135,0,1
85,2,136,0,1
85,2,141,0,1
85,1,145,0,0
85,1,152,0,0
85,1,155,0,1
85,2,156,0,0
85,2,161,0,0
85,1,116,1,0
85,1,116,1,0
85,2,123,2,0
85,1,123,2,1
85,1,133,3,1
85,1,133,3,1
85,1,123,4,1
85,1,123,4,1
85,1,128.5,5,0
85,1,128.5,5,0
85,2,133,6,0
85,2,133,6,0
85,2,132,7,0
85,2,132,7,0
85,1,123,8,0
85,2,125,8,0
85,1,131,9,0
85,1,131,9,0
85,1,137,10,0
85,1,137,10,1
85,2,140,11,0
85,1,140,11,1
85,2,148,12,0
85,1,148,12,0
85,1,154,13,0
85,2,154,13,0
85,2,132,14,0
85,1,132,14,1
86,2,113,0,1
86,2,131,0,0
86,1,131,0,0
86,NA,131,0,0
86,2,138,0,0
86,1,140,0,0
86,1,149,0,0
86,1,154,0,0
86,NA,154,0,0
86,2,157,0,0
86,2,158,0,0
86,2,156,15,1
86,1,156,15,1
86,1,135,16,0
86,2,135,16,1
86,2,133,17,0
86,1,133,17,1
86,2,126,18,0
86,1,126,18,1
86,1,145,19,0
86,2,145,19,1
86,1,146,20,0
86,1,146,20,1
86,2,154,21,0
86,2,154,21,1
87,2,114,0,0
87,1,126,0,0
87,2,128,0,1
87,2,130,0,0
87,1,132,0,1
87,2,134,0,0
87,2,134,0,1
87,2,135,0,1
87,1,138,0,0
87,1,146,0,0
87,2,149,0,1
87,1,150,22,0
87,1,150,22,1
87,2,147,23,0
87,2,147,23,1
87,2,107,24,0
87,1,107,24,1
87,1,121,25,0
87,1,121,25,1
87,1,144,26,1
87,2,144,26,1
87,1,144,27,0
87,1,144,27,1
87,2,132,28,1
87,1,132,28,1
88,1,124,0,0
88,1,127,0,1
88,1,128,0,1
88,2,134,0,0
88,2,134,0,1
88,2,136,0,1
88,2,137,0,1
88,1,137,0,1
88,1,138,0,0
88,1,144,0,1
88,2,146,0,1
88,2,148,0,1
88,2,153,0,1
88,2,150,29,1
88,2,150,29,1
88,2,136,30,0
88,2,136,30,1
88,2,134,31,1
88,1,134,31,1
88,1,134,31,1
88,1,131,32,1
88,2,131,32,1
88,2,115,33,0
88,1,115,33,0
89,1,120,0,1
89,1,123,0,0
89,2,132,0,1
89,2,133,0,0
89,2,134,0,1
89,2,136,0,1
89,1,140,0,0
89,NA,140,0,0
89,1,140,0,1
89,2,140,0,1
89,1,144,0,0
89,2,126,34,0
89,1,126,34,1
89,2,133,35,1
89,1,133,35,1
89,1,134,36,0
89,2,134,36,1
89,1,141,37,1
89,2,141,37,1
89,2,122,38,0
89,1,122,38,0
90,1,107,0,0
90,2,128,0,1
90,1,129,0,1
90,2,131,0,0
90,2,132,0,1
90,1,132,0,1
90,1,134,0,1
90,2,135,0,0
90,1,138,0,1
90,1,149,0,0
90,2,126,39,1
90,1,126,39,1
90,1,119,40,1
90,2,119,40,1
90,1,120,41,1
90,1,120,41,1
90,1,137,42,0
90,2,137,42,1
90,1,146,43,0
90,NA,146,43,0
90,1,149,44,0
90,2,149,44,0
90,1,138,45,1
90,2,138,45,1
91,1,119,0,1
91,2,125,0,1
91,2,128,0,1
91,1,130,0,1
91,2,132,0,1
91,2,133,0,0
91,1,133,0,0
91,2,135.5,0,0
91,1,136,0,0
91,2,136.5,0,0
91,2,136.5,0,0
91,1,138.5,0,0
91,1,143,0,1
91,2,144,0,1
91,2,154,0,0
91,NA,145.5,46,0
91,2,145.5,46,0
91,2,134.5,47,1
91,1,134.5,47,1
91,2,120.5,48,1
91,1,120.5,48,1
91,2,135,49,1
91,1,135,49,1
91,1,139,50,0
91,2,139,50,0
91,1,152.5,51,0
91,1,152.5,51,0
92,2,115,0,1
92,2,128,0,0
92,2,131.5,0,1
92,2,132,0,1
92,2,132,0,1
92,1,133,0,0
92,1,135,0,1
92,2,135.5,0,1
92,2,137,0,0
92,1,139,0,1
92,2,140,0,0
92,2,140,0,0
92,2,140,0,1
92,2,140,0,1
92,2,141.5,0,1
92,1,144,0,0
92,2,144,0,0
92,2,146,0,0
92,1,154,0,0
92,2,141,52,1
92,1,141,52,1
92,1,139.5,53,0
92,1,139.5,53,0
92,2,131,54,0
92,2,131,54,0
92,1,138,55,1
92,2,139,55,1
93,2,123,0,1
93,2,125.5,0,1
93,2,127.5,0,1
93,2,131,0,1
93,1,132,0,0
93,2,133.5,0,0
93,2,134,0,1
93,1,137,0,1
93,2,138.5,0,0
93,1,138.5,0,1
93,1,139,0,1
93,1,140.5,0,1
93,2,141.5,0,0
93,2,145.5,0,0
93,1,150,0,0
93,2,124,56,0
93,2,124,56,1
93,2,131.5,57,0
93,2,131.5,57,1
93,2,127.5,58,0
93,1,127.5,58,0
93,1,136.5,59,1
93,2,136.5,59,1
93,2,140.5,60,0
93,1,140.5,60,0
93,2,137.5,61,0
93,2,137.5,61,1
93,2,139,62,1
93,1,139,62,1
93,1,139,63,0
93,2,139,63,1
93,1,138.5,64,0
93,2,138.5,64,0
93,1,151,65,0
93,2,151,65,0
94,2,110,0,1
94,2,123,0,0
94,2,124.5,0,1
94,2,125.5,0,0
94,2,136,0,0
94,1,137,0,1
94,2,139,0,1
94,1,141,0,1
94,1,147,0,0
94,2,151.5,0,0
94,2,152,0,0
94,1,153,0,1
94,1,156,0,0
94,2,129,66,0
94,2,129,66,0
94,NA,128.5,67,0
94,1,128.5,67,0
94,1,131.5,68,0
94,1,131.5,68,1
94,2,140.5,69,0
94,2,140.5,69,1
94,1,134,70,0
94,1,134,70,1
94,1,137,71,1
94,2,137,71,1
94,2,143,72,1
94,2,143,72,1
94,2,138,73,1
94,1,138,73,1
94,1,136,74,1
95,2,115,0,0
95,1,120,0,1
95,2,125,0,0
95,2,129,0,0
95,2,129,0,1
95,1,132,0,1
95,1,135,0,1
95,1,137,0,0
95,2,141,0,1
95,1,141,0,1
95,2,141.5,0,0
95,2,144,0,0
95,1,144,0,0
95,1,127,75,1
95,1,127,75,1
95,2,131,76,1
95,1,130,77,1
95,1,130,77,1
95,1,130,78,1
95,1,130,78,1
95,1,137,79,0
95,1,137,79,1
95,1,136,80,0
95,2,136,80,1
95,1,143,81,0
95,2,143,81,1
95,2,145.5,82,0
95,2,145.5,82,0
95,1,143,83,0
95,2,143,83,1
95,1,150,84,0
95,1,150,84,1
96,2,119.5,0,0
96,1,121.5,0,1
96,2,125,0,1
96,1,126,0,0
96,1,127,0,0
96,1,128,0,0
96,2,128,0,0
96,2,129,0,0
96,NA,129,0,0
96,2,130,0,1
96,1,131,0,0
