,id,year,birth,weight,onset_autumn,onset_spring,reproductive_status,agecl2,agecl3,demo,democrash,democrashlag,crash,crashlag
1,26,1986,138.2225095,0.035714286,307,129,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
2,31,1986,138.2225095,0.035714286,307,129,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
3,33,1986,138.2225095,0.035714286,307,129,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
4,7,1986,142.617652,0.066666667,307,129,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
5,31,1988,132.1288039,0.090909091,292,101,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
6,31,1990,136.9223871,0.032258065,300,120,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
7,31,1992,122.3771712,0.0625,283,105,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
8,44,1993,133.0188735,0.5,283,99,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
9,48,1993,144.4840246,0.142857143,283,99,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
10,42,1994,124.236231,0.083333333,286,116,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
11,44,1994,126.8647812,0.142857143,286,116,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
12,50,1994,125.33056,0.066666667,286,116,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
13,51,1994,118.1118231,0.1,286,116,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
14,55,1994,124.236231,0.083333333,286,116,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
15,57,1994,123.0989916,0.058823529,286,116,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
16,31,1996,121.6207204,0.125,298,140,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
17,42,1996,121.6207204,0.125,298,140,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
18,50,1996,121.2924837,0.058823529,298,140,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
19,51,1996,121.6207204,0.125,298,140,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
20,55,1996,121.6207204,0.125,298,140,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
21,31,1997,120.0073725,0.071428571,271,134,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
22,42,1997,127.4244116,0.071428571,271,134,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
23,44,1997,122.3384513,0.166666667,271,134,no young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
24,49,1997,122.3384513,0.166666667,271,134,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
25,50,1997,138.0402729,0.25,271,134,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
26,55,1997,127.4244116,0.071428571,271,134,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
27,31,1998,115.7770777,0.125,294,114,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
28,42,1998,121.4651731,0.0625,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
29,49,1998,131.5053812,1,294,114,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
30,50,1998,134.5040635,1,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
31,59,1998,126.7728222,0.076923077,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
32,60,1998,124.5402928,0.052631579,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
33,62,1998,157.9003314,0.25,294,114,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
34,70,1998,121.6561863,0.066666667,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
35,79,1998,127.0654973,0.083333333,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
36,80,1998,126.4271002,0.090909091,294,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
37,81,1998,126.1228333,0.083333333,294,114,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
38,102,1999,160.9393092,0.05,300,114,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
39,105,1999,121.6207204,0.125,300,114,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
40,31,1999,166.8830674,0.032258065,300,114,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
41,42,1999,137.467666,0.045454545,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
42,44,1999,180.9347713,0.5,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
