Year,Week,Mean_size,QA_code
1946,16,,NS
1946,17,13.72,
1946,18,13.69,
1946,19,13.55,
1946,20,13.16,
1946,21,13.18,
1946,22,14.44,
1946,23,,NS
1946,24,,NS
1947,16,,NS
1947,17,14.17,
1947,18,14.05,
1947,19,15.2,
1947,20,14.99,
1947,21,15.05,
1947,22,15.39,
1947,23,14.65,
1947,24,,NS
1948,16,,NS
1948,17,15.36,
1948,18,15.11,
1948,19,14.91,
1948,20,14.88,
1948,21,15.03,
1948,22,14.84,
1948,23,14.94,
1948,24,15.49,
1949,16,16.5,
1949,17,16.18,
1949,18,16.65,
1949,19,16.79,
1949,20,17.19,
1949,21,16.89,
1949,22,18.05,
1949,23,16,
1949,24,,NS
1950,16,,ID
1950,17,,NS
1950,18,,NS
1950,19,18,
1950,20,18,
1950,21,17.99,
1950,22,19.07,
1950,23,19.35,
1950,24,18.52,
1951,16,,NS
1951,17,12.65,
1951,18,13.31,
1951,19,13.95,
1951,20,13.7,
1951,21,14.48,
1951,22,15.94,
1951,23,20.17,
1951,24,,NS
1952,16,,NS
1952,17,,ID
1952,18,16.39,
1952,19,16,
1952,20,17.33,
1952,21,16.8,
1952,22,15.89,
1952,23,,ID
1952,24,,NS
1953,16,,NS
1953,17,,NS
1953,18,19.07,
1953,19,18.07,
1953,20,18.11,
1953,21,18.04,
1953,22,19.1,
1953,23,17.55,
1953,24,,NS
1954,16,,NS
1954,17,,NS
1954,18,19.07,
1954,19,19.03,
1954,20,18.51,
1954,21,17.93,
1954,22,18.36,
1954,23,19.32,
1954,24,20.02,
1955,16,,NS
1955,17,,NS
1955,18,20.22,
1955,19,17.45,
1955,20,18.03,
1955,21,18.31,
1955,22,19.24,
1955,23,20.34,
1955,24,19.87,
1956,16,,NS
1956,17,,NS
1956,18,,ID
1956,19,21.39,
1956,20,20.93,
1956,21,20.26,
1956,22,21.38,
1956,23,21.44,
1956,24,,ID
1957,16,,NS
1957,17,20.87,
1957,18,20.35,
1957,19,19.52,
1957,20,20.19,
1957,21,21.37,
1957,22,22.84,
1957,23,,NS
1957,24,,NS
1958,16,,NS
1958,17,,ID
1958,18,18.01,
1958,19,17.25,
1958,20,17.32,
1958,21,16.5,
1958,22,19.01,
1958,23,21.85,
1958,24,,NS
1959,16,,NS
1959,17,,NS
1959,18,15.47,
1959,19,14.34,
1959,20,15.18,
1959,21,16.07,
1959,22,20.88,
1959,23,22.32,
1959,24,,NS
1960,16,,NS
1960,17,,NS
1960,18,17.91,
1960,19,17.92,
1960,20,17.56,
1960,21,16.92,
1960,22,17.2,
1960,23,20.01,
1960,24,,NS
1961,16,,NS
1961,17,,NS
1961,18,14.83,
1961,19,15.79,
1961,20,16.77,
1961,21,16.82,
1961,22,13.49,
1961,23,14.1,
1961,24,,NS
1962,16,,NS
1962,17,16.52,
1962,18,17.22,
1962,19,16.67,
1962,20,16.17,
1962,21,15.7,
1962,22,15.29,
1962,23,,NS
1962,24,,NS
1963,16,,NS
1963,17,,NS
1963,18,17.83,
1963,19,15.96,
1963,20,16.43,
1963,21,15.78,
1963,22,16.54,
1963,23,,NS
1963,24,,NS
1964,16,,NS
1964,17,17.06,
1964,18,16.46,
1964,19,16.39,
1964,20,16.1,
1964,21,16.93,
1964,22,16.52,
1964,23,16.92,
1964,24,,NS
1965,16,,NS
1965,17,,NS
1965,18,19.39,
1965,19,18.21,
1965,20,18.29,
1965,21,18.6,
1965,22,19.18,
1965,23,19.14,
1965,24,,NS
1966,16,,NS
1966,17,,NS
1966,18,20.11,
1966,19,19.56,
1966,20,19.69,
1966,21,20.11,
1966,22,20.05,
1966,23,20.55,
1966,24,,NS
1967,16,,NS
1967,17,,NS
1967,18,20.66,
1967,19,20.29,
1967,20,20.6,
1967,21,20.1,
1967,22,20.39,
1967,23,21.13,
1967,24,,NS
1968,16,,NS
1968,17,,NS
1968,18,20.19,
1968,19,19.53,
1968,20,20.41,
1968,21,20.18,
1968,22,21.01,
1968,23,21.12,
1968,24,,NS
1969,16,,NS
1969,17,,NS
1969,18,19.18,
1969,19,19.08,
1969,20,19.41,
1969,21,20.22,
1969,22,20.78,
1969,23,21.47,
1969,24,,NS
1970,16,,NS
1970,17,,NS
1970,18,19.28,
1970,19,18.5,
1970,20,18.15,
1970,21,19.58,
1970,22,20.83,
1970,23,22.53,
1970,24,,NS
1971,16,,NS
1971,17,,NS
1971,18,19.73,
1971,19,19.15,
1971,20,19.39,
1971,21,19.9,
1971,22,20.94,
1971,23,21.86,
1971,24,,NS
1972,16,,NS
1972,17,,NS
1972,18,21.63,
1972,19,20.95,
1972,20,20.85,
1972,21,21.26,
1972,22,21.23,
1972,23,21.73,
1972,24,,NS
1973,16,,NS
1973,17,22.6,
1973,18,21.71,
1973,19,21.81,
1973,20,22.57,
1973,21,22.84,
1973,22,23,
1973,23,,NS
1973,24,,NS
1974,16,,NS
1974,17,21.22,
1974,18,21.55,
1974,19,21.25,
1974,20,22.47,
1974,21,22.34,
1974,22,23.89,
1974,23,,NS
1974,24,,NS
1975,16,,NS
1975,17,21.24,
1975,18,19.92,
1975,19,19.48,
1975,20,19.13,
1975,21,21.08,
1975,22,21.9,
1975,23,,NS
1975,24,,NS
1976,16,,NS
1976,17,,NS
1976,18,21.5,
1976,19,21.1,
1976,20,20.47,
1976,21,20.82,
1976,22,21.47,
1976,23,22.18,
1976,24,,NS
1977,16,,NS
1977,17,,NS
1977,18,12.5,
1977,19,13.45,
1977,20,,ID
1977,21,,ID
1977,22,,ID
1977,23,,NS
1977,24,,NS
1978,16,,NS
1978,17,,NS
1978,18,13.72,
1978,19,13.06,
1978,20,12.99,
1978,21,13.26,
1978,22,13.38,
1978,23,,ID
1978,24,,NS
1979,16,,NS
1979,17,16.32,
1979,18,16.08,
1979,19,16.31,
1979,20,16.42,
1979,21,16.34,
1979,22,,ID
1979,23,,NS
1979,24,,NS
1980,16,,NS
1980,17,15.16,
1980,18,15.32,
1980,19,15.91,
1980,20,15.8,
1980,21,17.56,
1980,22,16.18,
1980,23,,NS
1980,24,,NS
1981,16,,NS
1981,17,,NS
1981,18,13.57,
1981,19,16.06,
1981,20,16,
1981,21,15.77,
1981,22,,ID
1981,23,,ID
1981,24,,NS
1982,16,,NS
1982,17,14.49,
1982,18,14.18,
1982,19,14.58,
1982,20,14.67,
1982,21,15.42,
1982,22,14.38,
1982,23,,NS
1982,24,,NS
1983,16,,NS
1983,17,,ID
1983,18,15.89,
1983,19,15.64,
1983,20,15.77,
1983,21,15.96,
1983,22,14.61,
1983,23,,NS
1983,24,,NS
1984,16,,NS
1984,17,17.5,
1984,18,17.12,
1984,19,17.06,
1984,20,16.3,
1984,21,17.23,
1984,22,17.71,
1984,23,,NS
1984,24,,NS
1985,16,,NS
