year,day,species,mass,,,
1997,22,REKN,162,,,"Captures masses of red knot and ruddy turnstone captured in Delaware, USA during spring stopover 1997-2018.Ê"
1997,22,REKN,182,,,year - year in YYYY
1997,22,REKN,124,,,day - capture day (days since May 5)
1997,22,REKN,129,,,species - REKN (red knot) or RUTU (ruddy turnstone)
1997,22,REKN,158,,,mass - mass in grams
1997,22,REKN,128,,,
1997,22,REKN,117,,,
1997,22,REKN,137,,,
1997,22,REKN,135,,,
1997,22,REKN,92,,,
1997,22,REKN,122,,,
1997,22,REKN,162,,,
1997,22,REKN,121,,,
1997,22,REKN,170,,,
1997,22,REKN,132,,,
1997,22,REKN,184,,,
1997,22,REKN,103,,,
1997,22,REKN,128,,,
1997,22,REKN,127,,,
1997,22,REKN,116,,,
1997,22,REKN,137,,,
1997,22,REKN,143,,,
1997,22,REKN,116,,,
1997,22,REKN,124,,,
1997,22,REKN,119,,,
1997,22,REKN,144,,,
1997,22,REKN,109,,,
1997,22,REKN,97,,,
1997,22,REKN,142,,,
1997,22,REKN,104,,,
1997,22,REKN,168,,,
1997,22,REKN,148,,,
1997,22,REKN,156,,,
1997,22,REKN,182,,,
1997,22,REKN,153,,,
1997,22,REKN,138,,,
1997,22,REKN,128,,,
1997,22,REKN,121,,,
1997,22,REKN,139,,,
1997,22,REKN,135,,,
1997,22,REKN,142,,,
1997,22,REKN,125,,,
1997,22,REKN,140,,,
1997,22,REKN,176,,,
1997,22,REKN,140,,,
1997,22,REKN,146,,,
1997,22,REKN,147,,,
1997,22,REKN,146,,,
1997,22,REKN,146,,,
1997,22,REKN,127,,,
1997,22,REKN,158,,,
1997,22,REKN,117,,,
1997,22,REKN,162,,,
1997,22,REKN,140,,,
1997,22,REKN,140,,,
1997,22,REKN,126,,,
1997,22,REKN,166,,,
1997,22,REKN,148,,,
1997,22,REKN,158,,,
1997,22,REKN,158,,,
1997,22,REKN,157,,,
1997,22,REKN,154,,,
1997,22,REKN,172,,,
1997,22,REKN,111,,,
1997,22,REKN,130,,,
1997,22,REKN,130,,,
1997,22,REKN,182,,,
1997,22,REKN,148,,,
1997,22,REKN,162,,,
1997,22,REKN,149,,,
1997,22,REKN,158,,,
1997,22,REKN,124,,,
1997,22,REKN,121,,,
1997,22,REKN,100,,,
1997,22,REKN,149,,,
1997,22,REKN,169,,,
1997,22,REKN,155,,,
1997,22,REKN,114,,,
1997,22,REKN,155,,,
1997,22,REKN,137,,,
1997,22,REKN,146,,,
1997,22,REKN,149,,,
1997,22,REKN,127,,,
1997,22,REKN,205,,,
1997,22,REKN,118,,,
1997,22,REKN,167,,,
1997,22,REKN,149,,,
1997,22,REKN,106,,,
1997,22,REKN,156,,,
1997,22,REKN,155,,,
1997,22,REKN,140,,,
1997,22,REKN,152,,,
1997,22,REKN,113,,,
1997,22,REKN,127,,,
1997,22,REKN,148,,,
1997,22,REKN,172,,,
1997,22,REKN,121,,,
1997,22,REKN,161,,,
1997,22,REKN,169,,,
1997,22,REKN,184,,,
1997,22,REKN,113,,,
1997,22,REKN,156,,,
1997,22,REKN,156,,,
1997,22,REKN,132,,,
1997,22,REKN,144,,,
1997,22,REKN,154,,,
1997,22,REKN,131,,,
1997,22,REKN,157,,,
1997,22,REKN,186,,,
1997,22,REKN,146,,,
1997,22,REKN,167,,,
1997,22,REKN,151,,,
1997,22,REKN,139,,,
1997,22,REKN,139,,,
1997,22,REKN,150,,,
1997,22,REKN,147,,,
1997,22,REKN,161,,,
1997,22,REKN,142,,,
1997,22,REKN,175,,,
1997,22,REKN,161,,,
1997,22,REKN,169,,,
1997,22,REKN,138,,,
1997,22,REKN,182,,,
1997,22,REKN,157,,,
1997,22,REKN,160,,,
1997,22,REKN,160,,,
1997,22,REKN,135,,,
1997,22,REKN,136,,,
1997,22,REKN,156,,,
1997,22,REKN,176,,,
1997,22,REKN,152,,,
1997,22,REKN,157,,,
1997,22,REKN,166,,,
1997,22,REKN,132,,,
1997,22,REKN,149,,,
1997,22,REKN,137,,,
1997,22,REKN,103,,,
1997,22,REKN,147,,,
1997,22,REKN,138,,,
1997,22,REKN,126,,,
1997,22,REKN,120,,,
1997,22,REKN,133,,,
1997,22,REKN,127,,,
1997,22,REKN,161,,,
1997,22,REKN,123,,,
1997,22,REKN,152,,,
1997,22,REKN,118,,,
1997,22,REKN,152,,,
1997,22,REKN,141,,,
1997,22,REKN,141,,,
1997,22,REKN,136,,,
1997,22,REKN,139,,,
1997,22,REKN,128,,,
1997,22,REKN,102,,,
1997,22,REKN,154,,,
1997,22,REKN,120,,,
1997,22,REKN,122,,,
1997,22,REKN,126,,,
1997,22,REKN,176,,,
1997,22,REKN,115,,,
1997,22,REKN,132,,,
1997,22,REKN,150,,,
1997,22,REKN,125,,,
1997,22,REKN,162,,,
1997,22,REKN,129,,,
1997,22,REKN,160,,,
1997,22,REKN,149,,,
1997,22,REKN,99,,,
1997,22,REKN,130,,,
1997,22,REKN,175,,,
1997,22,REKN,153,,,
1997,22,REKN,166,,,
1997,23,REKN,198,,,
1997,23,REKN,124,,,
1997,23,REKN,113,,,
1997,23,REKN,136,,,
1997,23,REKN,148,,,
1997,23,REKN,130,,,
1997,23,REKN,172,,,
1997,23,REKN,177,,,
1997,23,REKN,192,,,
1997,23,REKN,174,,,
1997,23,REKN,170,,,
1997,23,REKN,156,,,
1997,23,REKN,177,,,
1997,23,REKN,158,,,
1997,23,REKN,165,,,
1997,23,REKN,140,,,
1997,23,REKN,186,,,
1997,23,REKN,140,,,
1997,23,REKN,148,,,
1997,23,REKN,207,,,
1997,23,REKN,188,,,
1997,23,REKN,190,,,
1997,23,REKN,127,,,
1997,23,REKN,100,,,
1997,23,REKN,168,,,
1997,23,REKN,208,,,
1997,23,REKN,186,,,
1997,23,REKN,145,,,
1997,23,REKN,169,,,
