book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band_in,band_out,original_band,species,dead,current_double_banded,color_combo_different,band_change,recap_betw_year,recap_witn_year,how_cap,stage_of_capt,ul_in,ll_in,ur_in,lr_in,gfe_in,ul_out,ll_out,ur_out,lr_out,gfe_out,picture,rel_status,ffm_s10,ffm_s9,ffm_s8,ffm_s7,ffm_s6,ffm_s5,ffm_s4,ffm_s3,ffm_s2,ffm_s1,ffm_p1,ffm_p2,ffm_p3,ffm_p4,ffm_p5,ffm_p6,ffm_p7,ffm_p8,ffm_p9,ffm_p10,tfm_1,tfm_2,tfm_3,tfm_4,tfm_5,tfm_6,bm_head,bm_neck,bm_back,bm_brst,bm_abd,culmen,total_head,tarsus,wing,toe,fat,weight,cone_wt,final_wt,field_sex,CHD_sex,DFA_score,DFA_sex,final_sex,how_sex,age,how_age,lat_corrected,long_corrected,total_blood_amt,genetic_blood_capillary_tube,genetic_blood_preservative,Hg_blood,ecotox_blood,stable_isotope_blood,malaria_blood,immune_blood,total_feathers_coll,Hg_feathers,pesa_feathers,contaminant_feathers,moss_feathers,AI_cloaca,AI_oral,AI_feces,fecal_sample,geo_serial_number,gps_tag_number,radio_transmitter,comments
1.01,2003,barr,ataylor,03-06-15,1453,sesa501,03sesa501,brw2,in,NA,171173409,171173409,sesa,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"o,y",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,38.6,23.7,96,17.3,2,44.5,18.5,26,f,NA,NA,NA,f,culmen,ahy,plumage,71.29466,-156.65354,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.02,2003,barr,ataylor,03-06-16,1122,dunl401,03dunl401,brw3,in,NA,168181027,168181027,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"dg,db",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,57.6,26.9,121,20,0,76,18.5,57.5,u,NA,35.68957,NA,m,chd,ahy,plumage,71.26693,-156.52056,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.03,2003,barr,ataylor,03-06-16,1223,dunl101,03dunl101,brw3,in,NA,168181028,168181028,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"lg,y",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,59.9,27.1,123,22.1,0,76,18.5,57.5,m,NA,35.78691,NA,m,chd,ahy,plumage,71.27106,-156.52818,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.04,2003,barr,ataylor,03-06-17,1153,dunl300,03dunl300,brw1,in,NA,168181029,168181029,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"dg,dg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,58,27.2,121,18.7,0,75,18.5,56.5,m,NA,34.47106,NA,m,chd,sy,plumage,71.29813,-156.6295,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.05,2003,barr,ataylor,03-06-17,1505,sesa503,03sesa503,brw2,in,NA,171173410,171173410,sesa,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"o,r",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,39,22.3,96,17,1,44,18.5,25.5,f,NA,NA,NA,f,culmen,ahy,plumage,71.29571,-156.65749,10,NA,longmire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.06,2003,barr,ataylor,03-06-18,1336,dunl402,03dunl402,brw4,in,NA,168181030,168181030,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"r,db",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,58.3,24.7,123,18.9,1,73.5,18.5,55,u,NA,35.97418,NA,m,chd,ahy,plumage,71.26397,-156.49818,70,NA,longmire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.07,2003,barr,ataylor,03-06-19,1913,sesa501,03sesa501,brw2,in,NA,171173411,171173411,sesa,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"lg,y",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,39.1,21.7,94,18.1,0,45,18.5,26.5,m,NA,NA,NA,m,culmen,ahy,plumage,71.29466,-156.65354,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.08,2003,barr,rlanctot,03-06-19,2002,dunl508,03dunl508,brw2,out,NA,168181031,168181031,dunl,NA,n,y,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"db,o",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58.4,26,118,21.1,1,74,18.5,55.5,m,NA,35.23324,NA,m,chd,ahy,plumage,71.29653,-156.64734,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.09,2003,barr,ataylor,03-06-19,2046,dunl306,03dunl306,brw1,in,NA,168181032,168181032,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"db,r",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,64.4,25.8,126,20.8,1,82,18.5,63.5,f,NA,39.1702,NA,f,chd,sy,plumage,71.2985,-156.63872,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1,2003,barr,NA,03-06-23,NA,dunl300,03dunl300,brw1,in,NA,168181033,168181033,dunl,NA,n,n,n,n,n,walk-in trap,inc,-,-,-,-,NA,-,"r,gf",m,"y,r",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,63.7,26.7,122,20.5,2,80.5,18.5,62,f,NA,38.94104,NA,f,chd-mate,sy,plumage,71.29813,-156.6295,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"apparently, 1st captured on 19 June 2003 and banded with metal only + blood sample, but no much info to be sure of this"
