year,species,nest_date,hatch_date,fledge_date
2005,Greater_White_fronted_Goose,18-06-22,NA,NA
2006,Greater_White_fronted_Goose,18-06-08,18-07-06,18-07-14
2007,Greater_White_fronted_Goose,18-06-28,NA,NA
2008,Greater_White_fronted_Goose,18-06-07,18-07-02,NA
2009,Greater_White_fronted_Goose,18-06-06,18-06-28,NA
2010,Greater_White_fronted_Goose,18-06-17,18-07-15,NA
2011,Greater_White_fronted_Goose,18-06-06,18-07-06,NA
2012,Greater_White_fronted_Goose,18-06-06,18-07-02,NA
2013,Greater_White_fronted_Goose,18-06-10,18-07-04,NA
2014,Greater_White_fronted_Goose,18-06-10,18-07-09,NA
2015,Greater_White_fronted_Goose,18-06-02,18-07-10,NA
2016,Greater_White_fronted_Goose,18-05-29,18-06-23,NA
2017,Greater_White_fronted_Goose,18-06-09,18-07-01,NA
2018,Greater_White_fronted_Goose,18-06-14,18-07-11,NA
2006,Brant,18-06-17,NA,NA
2007,Brant,18-06-18,NA,NA
2008,Brant,18-06-18,18-07-12,NA
2009,Brant,18-06-29,NA,NA
2011,Brant,18-06-12,18-07-16,NA
2012,Brant,18-06-29,18-07-10,NA
2013,Brant,18-06-25,NA,NA
2016,Brant,18-06-06,18-07-07,NA
2017,Brant,18-06-28,18-07-15,NA
2018,Brant,18-06-10,18-07-13,NA
2008,Tundra_Swan,18-06-07,18-07-15,NA
2009,Tundra_Swan,y,18-07-19,NA
2010,Tundra_Swan,18-06-15,NA,NA
2011,Tundra_Swan,NA,18-07-17,NA
2012,Tundra_Swan,18-06-23,18-07-14,NA
2013,Tundra_Swan,NA,18-07-15,NA
2014,Tundra_Swan,18-07-11,18-07-20,NA
2015,Tundra_Swan,18-05-27,18-07-10,NA
2016,Tundra_Swan,18-06-02,18-07-05,NA
2018,Tundra_Swan,18-06-27,18-07-21,NA
2015,Northern_Shoveler,18-06-21,18-07-12,NA
2005,Northern_Pintail,18-06-26,NA,NA
2006,Northern_Pintail,18-07-03,NA,NA
2008,Northern_Pintail,18-06-18,NA,NA
2009,Northern_Pintail,18-06-21,y,3/4 grown on 24 jul
2010,Northern_Pintail,18-06-16,NA,NA
2011,Northern_Pintail,18-05-31,NA,NA
2012,Northern_Pintail,18-06-05,NA,NA
2013,Northern_Pintail,18-06-03,NA,NA
2014,Northern_Pintail,18-06-24,18-07-22,NA
2015,Northern_Pintail,18-06-13,NA,NA
2016,Northern_Pintail,18-06-06,NA,NA
2017,Northern_Pintail,18-06-15,18-07-13,NA
2018,Northern_Pintail,18-06-15,NA,NA
2007,Green_winged_Teal,18-06-26,NA,NA
2008,Green_winged_Teal,NA,18-07-19,NA
2012,Green_winged_Teal,NA,18-07-27,NA
2013,Green_winged_Teal,NA,18-08-06,18-08-12
2015,Green_winged_Teal,y,NA,NA
2016,Green_winged_Teal,18-06-18,NA,NA
2018,Greater_Scaup,NA,18-07-21,NA
2009,Lesser_Scaup,y,y,NA
2006,Stellers_Eider,18-06-20,NA,NA
2008,Stellers_Eider,18-06-18,18-07-19,NA
2010,Stellers_Eider,18-06-30,18-07-22,NA
2011,Stellers_Eider,18-06-29,NA,NA
2012,Stellers_Eider,NA,18-07-24,NA
2013,Stellers_Eider,18-06-25,18-07-12,NA
2015,Stellers_Eider,18-06-13,18-07-14,NA
2016,Stellers_Eider,18-06-23,18-07-17,NA
2018,Stellers_Eider,NA,NA,18-07-21
2006,Spectacled_Eider,NA,NA,18-07-14
2008,Spectacled_Eider,NA,18-07-15,NA
2011,Spectacled_Eider,NA,18-07-17,NA
2012,Spectacled_Eider,NA,18-07-14,NA
2013,Spectacled_Eider,18-06-26,18-07-13,NA
2014,Spectacled_Eider,NA,18-07-19,NA
2015,Spectacled_Eider,NA,18-06-23,NA
2016,Spectacled_Eider,18-07-08,18-07-14,18-07-02
2017,Spectacled_Eider,18-06-28,18-07-23,NA
2018,Spectacled_Eider,NA,18-07-27,NA
2008,King_Eider,18-06-23,18-07-14,NA
2010,King_Eider,18-06-28,NA,NA
2011,King_Eider,18-06-21,18-07-16,NA
2012,King_Eider,NA,18-07-13,NA
2014,King_Eider,18-06-25,18-07-19,NA
2015,King_Eider,18-06-28,18-06-30,NA
2016,King_Eider,NA,18-07-16,NA
2017,King_Eider,NA,18-07-30,NA
2018,King_Eider,18-07-05,18-07-21,NA
2005,Long_tailed_Duck,18-06-27,18-07-29,NA
2008,Long_tailed_Duck,18-06-24,18-07-18,NA
2009,Long_tailed_Duck,y,NA,NA
2010,Long_tailed_Duck,18-06-27,18-07-20,NA
2011,Long_tailed_Duck,18-06-27,18-07-19,NA
