book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band,species,chick_egg_number,recap_witn_year,stage_of_capt,ul,ll,ur,lr,gfe,rel_status,dead,culmen,tarsus,wing,weight,cone_wt,final_wt,est_age,lat,long,blood,genetic_blood_capillary_tube,genetic_blood_preservative,stable_isotope,buccal,color,gut,radio_transmitter,comments
2.incidental,2003,barr,breed2003,03-07-13,NA,lbdoA,03lbdoA,brw2,in,121239952,lbdo,chick1,n,brood,-,r,m,-,NA,band/rel,n,35.4,32.1,NA,NA,NA,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chick of lbdoA caught by hand by snow fence on plot 2
NA,2003,barr,breed2003,03-07-25,NA,amgp514,03amgp514,brw2,out,157374702,amgp,chick1,n,nest,-,r,m,-,NA,band/rel,n,12.7,35.7,NA,NA,NA,20,0,71.29387,-156.63996,90,NA,NA,NA,NA,NA,NA,NA,4th chick unbanded
NA,2003,barr,breed2003,03-07-25,NA,amgp514,03amgp514,brw2,out,157374703,amgp,chick2,n,nest,-,r,m,-,NA,band/rel,n,12.3,34.2,NA,NA,NA,19,0,71.29387,-156.63996,5,NA,NA,NA,NA,NA,NA,NA,4th chick unbanded
NA,2003,barr,breed2003,03-07-26,NA,amgp514,03amgp514,brw2,out,157374704,amgp,chick3,n,nest,-,r,m,-,NA,band/rel,n,12.2,34.8,NA,NA,NA,20,1,71.29387,-156.63996,90,NA,NA,NA,NA,NA,NA,NA,4th chick unbanded
NA,2003,barr,breed2003,03-07-04,NA,pesa403,03pesa403,brw2,out,168180538,pesa,chick2,n,nest,-,r,m,-,NA,band/rel,n,10.9,23.9,NA,NA,NA,9.5,0,71.2902,-156.65587,y,NA,NA,NA,NA,NA,NA,NA,"SAMPLE FOUND, QUANTITY UNKNOWN"
NA,2003,barr,breed2003,03-07-04,NA,pesa403,03pesa403,brw2,out,168180539,pesa,chick3,n,nest,-,r,m,-,NA,band/rel,n,10.4,23.7,NA,NA,NA,9,0,71.2902,-156.65587,60,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-04,NA,pesa403,03pesa403,brw2,out,168180540,pesa,chick4,n,nest,-,r,m,-,NA,band/rel,n,10.9,23.6,NA,NA,NA,8.5,0,71.2902,-156.65587,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-05,NA,dunl305,03dunl305,brw1,in,168180543,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,10.9,22.8,NA,NA,NA,12.5,0,71.29637,-156.63116,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-05,NA,dunl305,03dunl305,brw1,in,168180544,dunl,chick2,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.6,23.3,NA,NA,NA,13.5,0,71.29637,-156.63116,60,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-05,NA,dunl305,03dunl305,brw1,in,168180545,dunl,chick3,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.6,23.7,NA,NA,NA,13.5,0,71.29637,-156.63116,50,NA,NA,NA,NA,NA,NA,NA,NA
2.incidental,2003,barr,breed2003,03-07-08,NA,dunlA,03dunlA,brw2,NA,168180546,dunl,chick1,n,brood,"gf,r",-,-,m,NA,band/rel,n,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,dunl319,03dunl319,brw1,in,168180547,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.6,22.6,NA,NA,NA,7.5,0,71.29597,-156.63663,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,dunl319,03dunl319,brw1,in,168180548,dunl,chick2,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.8,23.7,NA,NA,NA,7.5,0,71.29597,-156.63663,45,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,dunl319,03dunl319,brw1,in,168180549,dunl,chick3,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.2,21.3,NA,NA,NA,7.5,0,71.29597,-156.63663,50,NA,NA,NA,NA,NA,NA,NA,band found in pellet on 7 aug 2008
NA,2003,barr,breed2003,03-07-09,NA,dunl319,03dunl319,brw1,in,168180550,dunl,chick4,n,nest,"gf,r",-,-,m,NA,band/rel,n,12.5,20.8,NA,NA,NA,7,0,71.29597,-156.63663,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,pesa318,03pesa318,brw1,in,168180551,pesa,chick1,n,nest,-,r,m,-,NA,band/rel,n,11.1,24.1,NA,NA,NA,7.5,0,71.29634,-156.64025,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,pesa318,03pesa318,brw1,in,168180552,pesa,chick2,n,nest,-,r,m,-,NA,band/rel,n,11.2,23.6,NA,NA,NA,7.5,0,71.29634,-156.64025,20,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,pesa318,03pesa318,brw1,in,168180553,pesa,chick3,n,nest,-,r,m,-,NA,band/rel,n,10.9,23.2,NA,NA,NA,8,0,71.29634,-156.64025,20,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-09,NA,pesa318,03pesa318,brw1,in,168180554,pesa,chick4,n,nest,-,r,m,-,NA,band/rel,n,11.2,24.5,NA,NA,NA,8,0,71.29634,-156.64025,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph322,03reph322,brw4,in,168180555,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,7.7,20.2,NA,NA,NA,5,0,71.26192,-156.49722,30,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph322,03reph322,brw4,in,168180556,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,7.3,20,NA,NA,NA,5.5,0,71.26192,-156.49722,20,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph322,03reph322,brw4,in,168180557,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,7.8,19.2,NA,NA,NA,5,0,71.26192,-156.49722,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph322,03reph322,brw4,in,168180558,reph,chick4,n,nest,-,r,m,-,NA,band/rel,n,8,19.7,NA,NA,NA,5.5,0,71.26192,-156.49722,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph308,03reph308,brw4,in,168180559,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,9.3,19.3,NA,NA,NA,6,1,71.26386,-156.48467,40,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-10,NA,reph308,03reph308,brw4,in,168180560,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,8.3,19.1,NA,NA,NA,5.5,1,71.26386,-156.48467,45,NA,NA,NA,NA,NA,NA,NA,NA
3.incidental,2003,barr,breed2003,03-07-10,NA,dunlB,03dunlB,brw3,NA,168180561,dunl,chick1,n,brood,"gf,r",-,-,m,NA,band/rel,n,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
