species	phenology lower	phenology upper	mean phenology	year	latitude	longitude	mean centre latitude	grid_50km	grid_5km	tray
oak	89	89	89	1998	51.31240468	-0.302607404	-1.317076093	3 10	31 103	NA
oak	116	116	116	1998	52.6256606	-2.004388824	-0.003820174	6 7	60 79	NA
oak	109	109	109	1998	51.61203648	-0.136911981	-1.017444292	3 10	38 105	NA
oak	116	116	116	1998	52.4389895	-0.118406192	-0.190491273	5 10	56 105	NA
oak	116	116	116	1998	51.31458075	-2.827836962	-1.314900021	3 6	31 68	NA
oak	114	114	114	1998	52.5710047	-0.555445404	-0.05847608	5 9	59 99	NA
oak	109	109	109	1998	51.93595404	1.193146029	-0.69352674	4 12	46 123	NA
oak	124	124	124	1998	51.67748652	-2.368744056	-0.951994254	3 7	39 74	NA
oak	121	121	121	1998	54.37407142	-2.909735513	1.744590642	9 6	99 68	NA
oak	112	112	112	1998	52.33723931	0.517292853	-0.292241465	5 11	54 114	NA
oak	96	96	96	1998	51.76879408	-1.334786626	-0.860686692	4 8	41 89	NA
oak	105	105	105	1998	52.43524838	-0.349527779	-0.194232397	5 10	56 102	NA
oak	128	128	128	1998	52.36503792	-0.548954347	-0.264442853	5 9	55 99	NA
oak	91	91	91	1998	51.30711849	-2.865002302	-1.322362288	3 6	31 67	NA
oak	116	116	116	1998	52.61590607	-0.2821792	-0.013574706	6 10	60 103	NA
oak	116	116	116	1998	52.23788196	0.078120105	-0.39159881	5 10	52 108	NA
oak	92	92	92	1999	51.31240468	-0.302607404	-1.317076093	3 10	31 103	NA
oak	98	98	98	1999	51.36404538	-0.948532627	-1.265435391	3 9	32 94	NA
oak	106	106	106	1999	52.56442069	-2.160757317	-0.065060081	5 7	59 77	NA
oak	90	90	90	1999	50.92854113	-0.134469481	-1.700939649	2 10	23 106	NA
oak	102	102	102	1999	51.0099375	-0.106971304	-1.619543275	2 10	25 106	NA
oak	93	93	93	1999	51.24879995	-0.215566251	-1.380680827	3 10	30 104	NA
oak	145	145	145	1999	51.67508681	-0.597141498	-0.954393966	3 9	39 99	NA
oak	96	96	96	1999	52.4389895	-0.118406192	-0.190491273	5 10	56 105	NA
oak	101	101	101	1999	51.31458075	-2.827836962	-1.314900021	3 6	31 68	NA
oak	113	113	113	1999	52.5710047	-0.555445404	-0.05847608	5 9	59 99	NA
oak	125	125	125	1999	55.31373575	-3.763098358	2.684254975	12 5	120 57	NA
oak	120	120	120	1999	51.67748652	-2.368744056	-0.951994254	3 7	39 74	NA
oak	78	78	78	1999	50.20246713	-5.38941036	-2.427013645	0 3	7 31	NA
oak	126	126	126	1999	57.50321529	-4.237934616	4.87373452	16 5	169 53	NA
oak	87	87	87	1999	51.1350884	-3.201951742	-1.494392376	2 6	27 63	NA
oak	104	104	104	1999	52.83341281	0.583371305	0.203932039	6 11	65 114	NA
oak	135	135	135	1999	53.84643628	-1.560702232	1.216955503	8 8	87 85	NA
oak	123	123	123	1999	53.35192423	-1.520730985	0.722443453	7 8	76 86	NA
oak	124	124	124	1999	56.15297375	-5.466479432	3.523492975	14 3	140 36	NA
oak	88	88	88	1999	51.28344434	-0.632047936	-1.346036437	3 9	30 99	NA
oak	123	123	123	1999	52.37689876	-0.172467884	-0.252582012	5 10	55 104	NA
oak	102	102	102	1999	51.76879408	-1.334786626	-0.860686692	4 8	41 89	NA
oak	102	102	102	1999	52.43524838	-0.349527779	-0.194232397	5 10	56 102	NA
oak	113	113	113	1999	53.33394757	-1.520932406	0.704466795	7 8	76 86	NA
oak	101	101	101	1999	53.77177716	-1.075956721	1.14229639	8 9	86 92	NA
oak	98	98	98	1999	50.85240209	0.280195357	-1.777078684	2 11	21 112	NA
oak	122	122	122	1999	52.29218298	-3.592272248	-0.337297791	5 5	53 58	NA
oak	117	117	117	1999	55.98729518	-4.805325661	3.357814404	13 4	136 45	NA
oak	89	89	89	1999	53.22805536	-4.164633957	0.59857458	7 5	74 51	NA
oak	119	119	119	1999	52.19057116	-3.124888665	-0.438909611	5 6	51 64	NA
oak	112	112	112	1999	52.36503792	-0.548954347	-0.264442853	5 9	55 99	NA
oak	106	106	106	1999	52.12162462	-2.628675086	-0.50785615	4 7	49 71	NA
oak	91	91	91	1999	51.30711849	-2.865002302	-1.322362288	3 6	31 67	NA
oak	125	125	125	1999	55.61296335	-3.065218072	2.983482574	12 6	127 66	NA
oak	114	114	114	1999	52.61590607	-0.2821792	-0.013574706	6 10	60 103	NA
oak	106	106	106	1999	51.07098639	-0.045956927	-1.558494388	2 10	26 107	NA
oak	102	102	102	1999	53.04455074	-0.396458813	0.415069961	7 10	70 101	NA
oak	121	121	121	1999	50.51670439	-4.07343107	-2.112776389	1 5	14 50	NA
oak	108	108	108	1999	53.14343729	-1.343651512	0.513956514	7 8	72 88	NA
oak	124	124	124	1999	53.4950403	-3.020443531	0.865559525	8 6	80 66	NA
oak	144	144	144	1999	57.992412	-4.4122025	5.362931227	18 5	180 51	NA
oak	115	115	115	1999	52.14672657	0.866130372	-0.48275421	5 11	50 119	NA
oak	102	102	102	1999	51.03402774	-0.268584448	-1.595453034	2 10	25 104	NA
oak	118	118	118	1999	54.08290685	-0.911168187	1.453426073	9 9	93 94	NA
oak	120	120	120	1999	52.09905094	-3.827742268	-0.530429836	4 5	49 54	NA
oak	115	115	115	1999	52.83208368	-4.587306328	0.202602909	6 4	65 45	NA
oak	104	104	104	1999	51.95908261	-2.307018791	-0.670398166	4 7	45 75	NA
oak	102	102	102	1999	52.9940476	-2.207045828	0.364566821	6 7	68 77	NA
oak	117	117	117	1999	53.1522691	-2.176106597	0.52278832	7 7	72 77	NA
oak	120	120	120	1999	53.96328604	-0.972651361	1.333805267	9 9	90 93	NA
oak	126	126	126	1999	53.86335407	-0.9538121	1.233873292	8 9	88 93	NA
oak	102	102	102	1999	52.23788196	0.078120105	-0.39159881	5 10	52 108	NA
oak	96	96	96	1999	51.83742507	0.731267775	-0.792055705	4 11	43 117	NA
oak	111	111	111	1999	50.78731853	-2.581576692	-1.842162246	1 7	19 71	NA
oak	122	122	122	2000	52.47333743	-3.489853109	-0.156143345	5 5	57 59	NA
oak	97	97	97	2000	51.31240468	-0.302607404	-1.317076093	3 10	31 103	NA
oak	108	108	108	2000	52.6256606	-2.004388824	-0.003820174	6 7	60 79	NA
oak	97	97	97	2000	50.97194708	-1.304926965	-1.657533697	2 8	23 89	NA
oak	124	124	124	2000	51.36404538	-0.948532627	-1.265435391	3 9	32 94	NA
oak	116	116	116	2000	51.82229648	-2.87048405	-0.807184296	4 6	42 68	NA
oak	96	96	96	2000	51.54963937	0.242771631	-1.079841408	3 11	37 111	NA
oak	90	90	90	2000	50.92854113	-0.134469481	-1.700939649	2 10	23 106	NA
oak	115	115	115	2000	51.0099375	-0.106971304	-1.619543275	2 10	25 106	NA
oak	113	113	113	2000	53.1999554	-2.74820819	0.570474624	7 7	73 70	NA
