Ringnumber,Age,Body mass,Year,Location,NestID
8201615,1,7,2012,Hochstetter Forland,F02.12
8201616,1,7.5,2012,Hochstetter Forland,F02.12
8201617,1,7,2012,Hochstetter Forland,F02.12
8201618,1,7,2012,Hochstetter Forland,F02.12
8201619,1,7,2012,Hochstetter Forland,F03.12
8201620,1,8,2012,Hochstetter Forland,F03.12
8201621,1,8,2012,Hochstetter Forland,F03.12
8201644,0,7.5,2012,Hochstetter Forland,H14.12
8201645,0,7.5,2012,Hochstetter Forland,H14.12
8201646,0,7.5,2012,Hochstetter Forland,H14.12
8210402,0,6.6,2007,Zackenberg,S31.07
8210403,0,7.5,2007,Zackenberg,S31.07
8210404,0,6.8,2007,Zackenberg,S31.07
8210405,0,6.5,2007,Zackenberg,S31.07
8210435,1,8,2007,Zackenberg,B11.07
8210435,4,14.5,2007,Zackenberg,B11.07
8210436,1,8,2007,Zackenberg,B11.07
8210436,4,12.7,2007,Zackenberg,B11.07
8210437,1,7,2007,Zackenberg,B11.07
8210438,1,8.5,2007,Zackenberg,B11.07
8210438,4,14.7,2007,Zackenberg,B11.07
8210472,0,7.2,2009,Zackenberg,S14.09
8210473,0,7.2,2009,Zackenberg,S14.09
8210474,0,6.8,2009,Zackenberg,S14.09
8210475,0,6.9,2009,Zackenberg,S14.09
8210476,0,7.4,2009,Zackenberg,S27.09
8210477,10,36.7,2009,Zackenberg,S27.09
8210478,0,8,2009,Zackenberg,S27.09
8210479,0,8,2009,Zackenberg,S27.09
8210486,1,7.1,2009,Zackenberg,S40.09
8210487,1,7,2009,Zackenberg,S40.09
8210488,1,7.8,2009,Zackenberg,S40.09
8210489,1,6.8,2009,Zackenberg,S40.09
8210491,0,6.5,2009,Zackenberg,S39.09
8210492,0,6.9,2009,Zackenberg,S39.09
8210493,0,6.8,2009,Zackenberg,S39.09
8210495,0,7.8,2009,Zackenberg,S46.09
8210496,0,7.5,2009,Zackenberg,S46.09
8210497,0,7.6,2009,Zackenberg,S46.09
8210498,0,7.5,2009,Zackenberg,S46.09
8211139,5,17.5,2009,Zackenberg,S04.09
8211140,1,7.9,2009,Zackenberg,S04.09
8211141,1,8,2009,Zackenberg,S04.09
8211141,5,16.4,2009,Zackenberg,S04.09
8211148,0,7.8,2009,Zackenberg,S24.09
8211149,0,7.5,2009,Zackenberg,S24.09
8211157,0,7.4,2009,Zackenberg,B03.09
8211158,0,7.5,2009,Zackenberg,B03.09
8211159,0,5.9,2009,Zackenberg,B03.09
8211160,0,9.1,2009,Zackenberg,B03.09
8211162,1,6.8,2009,Zackenberg,S17.09
8211163,1,7.7,2009,Zackenberg,S17.09
8211164,1,7.5,2009,Zackenberg,S17.09
8211167,2,10.1,2009,Zackenberg,B04.09
8211167,4,14.8,2009,Zackenberg,B04.09
8211168,2,9.9,2009,Zackenberg,B04.09
8211168,4,14.9,2009,Zackenberg,B04.09
8211169,2,9.7,2009,Zackenberg,B04.09
8211169,4,14.5,2009,Zackenberg,B04.09
8211180,0,5.8,2009,Zackenberg,S37.09
8211181,0,7.9,2009,Zackenberg,S37.09
8211182,0,7.2,2009,Zackenberg,S37.09
8211183,0,5.8,2009,Zackenberg,S37.09
8211607,0,8.1,2009,Zackenberg,S36.09
8211608,0,8,2009,Zackenberg,S36.09
8211630,1,10.3,2010,Zackenberg,S23.10
8211631,1,9.3,2010,Zackenberg,S23.10
8211632,9,30,2010,Zackenberg,S23.10
8211633,1,9.3,2010,Zackenberg,S23.10
8211635,1,8.5,2010,Zackenberg,B02.10
8211636,1,7.7,2010,Zackenberg,B02.10
8211637,1,8.2,2010,Zackenberg,B02.10
8211640,0,7.7,2010,Zackenberg,S13.10
8211641,0,8.1,2010,Zackenberg,S13.10
8211642,0,8.4,2010,Zackenberg,S13.10
8211644,1,10.9,2010,Zackenberg,S22.10
8211645,1,10.5,2010,Zackenberg,S22.10
8211646,0,7.8,2010,Zackenberg,S22.10
8211647,0,7.3,2010,Zackenberg,S22.10
8211649,0,8.5,2010,Zackenberg,S25.10
8211666,0,7.5,2010,Zackenberg,S26.10
8211667,0,6.75,2010,Zackenberg,S26.10
8211672,0,7.75,2010,Zackenberg,S15.10
8211673,0,6.8,2010,Zackenberg,S15.10
8211674,0,7.5,2010,Zackenberg,S15.10
8212616,3,12,2012,Hochstetter Forland,H06.12
8212617,3,12.5,2012,Hochstetter Forland,H06.12
8212618,3,11,2012,Hochstetter Forland,H06.12
8212618,15,45.5,2012,Hochstetter Forland,H06.12
